t_s,H_m
0,0.0000
610,0.0191
632,0.0191
654,0.0191
677,0.0191
699,0.0191
721,0.0191
773,0.0222
796,0.0235
855,0.0270
877,0.0283
981,0.0295
1004,0.0295
1026,0.0297
1048,0.0308
1108,0.0335
1130,0.0346
1152,0.0356
1219,0.0379
1242,0.0379
1264,0.0379
1286,0.0379
1309,0.0379
1331,0.0379
1413,0.0401
1435,0.0407
1457,0.0410
1480,0.0410
1554,0.0215
1717,0.0217
1740,0.0217
1762,0.0458
1784,0.0463
1807,0.0467
1829,0.0467
1941,0.0470
1963,0.0472
1985,0.0478
2015,0.0479
2037,0.0483
2141,0.0494
2164,0.0494
2186,0.0494
2208,0.0494
2230,0.0494
2364,0.0492
2387,0.0492
2409,0.0492
2431,0.0492
2454,0.0492
2565,0.0492
2587,0.0492
2632,0.0494
2654,0.0494
2677,0.0494
2781,0.0494
2803,0.0494
2825,0.0494
2848,0.0494
2870,0.0494
2892,0.0494
3004,0.0498
3026,0.0498
3048,0.0496
3100,0.0494
3212,0.0494
3234,0.0494
3257,0.0494
3279,0.0494
3301,0.0494
3323,0.0494
3435,0.0494
3457,0.0494
3480,0.0494
3502,0.0494
3665,0.0492
3688,0.0492
3710,0.0492
3732,0.0492
3755,0.0492
3874,0.0490
3896,0.0489
3918,0.0489
3970,0.0487
3993,0.0487
4030,0.0450
4052,0.0450
4097,0.0492
4126,0.0494
4149,0.0494
4171,0.0498
4193,0.0498
4305,0.0498
4327,0.0498
4349,0.0500
4372,0.0501
4394,0.0503
4416,0.0505
4520,0.0514
4543,0.0514
4565,0.0514
4587,0.0512
4610,0.0512
4677,0.0479
4699,0.0479
4721,0.0479
4743,0.0510
4766,0.0510
4788,0.0510
4810,0.0509
4833,0.0479
4855,0.0479
4877,0.0479
4907,0.0479
5071,0.0523
5093,0.0525
5152,0.0525
5346,0.0520
5368,0.0520
5554,0.0516
5680,0.0560
5703,0.0596
5725,0.0569
5747,0.0567
5822,0.0514
5844,0.0514
5866,0.0514
5888,0.0514
6000,0.0514
6022,0.0514
6045,0.0514
6067,0.0514
6156,0.0629
6178,0.0631
6312,0.0593
6335,0.0593
6468,0.0593
7086,0.0525
7145,0.0525
7532,0.0541
7636,0.0541
7658,0.0540
7680,0.0538
7703,0.0536
7829,0.0525
7851,0.0525
7874,0.0523
7896,0.0521
7933,0.0518
8037,0.0509
8059,0.0507
8082,0.0507
8104,0.0503
8126,0.0501
8149,0.0500
8260,0.0492
8283,0.0489
8312,0.0487
8335,0.0485
8357,0.0483
8476,0.0472
8498,0.0472
8520,0.0470
8543,0.0469
8565,0.0465
8669,0.0458
8691,0.0456
8714,0.0454
8729,0.0454
