t_s,l_m
331,0.0303
1201,0.0653
1327,0.0675
1491,0.0864
1625,0.0857
1803,0.1054
1929,0.1141
2100,0.1258
2212,0.1302
2405,0.1287
2539,0.1324
2703,0.1506
2829,0.1506
2993,0.1506
3126,0.1499
3305,0.1630
3431,0.1710
3610,0.1710
3714,0.1710
3900,0.1710
4026,0.1717
4204,0.1754
4331,0.1754
4502,0.1798
4621,0.1856
4777,0.1834
4896,0.1834
4978,0.1973
4993,0.2053
5045,0.2009
5045,0.1900
5164,0.2038
5230,0.2038
5275,0.2126
5342,0.2155
5387,0.2235
5461,0.2228
5528,0.2250
5572,0.2315
5647,0.2308
5796,0.2345
5877,0.2359
5944,0.2359
6004,0.2403
6056,0.2432
6242,0.2447
6316,0.2454
6413,0.2534
6472,0.2585
6651,0.2629
6740,0.2636
6770,0.2731
6963,0.2782
7015,0.2855
7074,0.2928
7119,0.3008
7193,0.3037
7260,0.3096
7305,0.3234
7394,0.3249
7439,0.3482
