t_s,l_m
30,0.0149
52,0.0146
74,0.0146
97,0.0146
119,0.0146
141,0.0146
164,0.0146
186,0.0146
208,0.0149
230,0.0149
253,0.0146
275,0.0146
297,0.0146
320,0.0146
342,0.0146
364,0.0146
387,0.0146
409,0.0146
431,0.0146
454,0.0146
476,0.0146
498,0.0146
520,0.0146
543,0.0146
565,0.0146
587,0.0146
610,0.0146
632,0.0146
654,0.0146
677,0.0146
699,0.0146
721,0.0146
743,0.0146
766,0.0146
788,0.0146
810,0.0146
833,0.0146
855,0.0149
877,0.0203
900,0.0244
922,0.0244
944,0.0244
967,0.0244
989,0.0244
1011,0.0244
1033,0.0244
1056,0.0244
1078,0.0248
1100,0.0252
1264,0.0547
1286,0.0543
1309,0.0543
1331,0.0543
1353,0.0543
1375,0.0543
1398,0.0543
1420,0.0543
1442,0.0547
1465,0.0551
1517,0.0755
1539,0.0744
1561,0.0744
1584,0.0744
1606,0.0744
1628,0.0747
1651,0.0744
1673,0.0744
1695,0.0744
1717,0.0751
1799,0.0955
1822,0.0955
1844,0.0948
1866,0.0944
1888,0.0944
1911,0.0948
1933,0.1003
1955,0.1054
1978,0.1050
2000,0.1046
2022,0.1046
2045,0.1046
2067,0.1046
2089,0.1050
2112,0.1050
2335,0.1342
2357,0.1345
2379,0.1345
2401,0.1345
2424,0.1345
2446,0.1345
2468,0.1349
2491,0.1349
2513,0.1345
2535,0.1345
2558,0.1349
2580,0.1349
2602,0.1345
2625,0.1345
2647,0.1345
2669,0.1345
2691,0.1400
2714,0.1444
2736,0.1444
2758,0.1448
2781,0.1448
2803,0.1444
2825,0.1444
2848,0.1444
2870,0.1444
2892,0.1448
2914,0.1444
2937,0.1448
2959,0.1444
2981,0.1448
3004,0.1488
3026,0.1546
3048,0.1542
3071,0.1524
3093,0.1542
3115,0.1542
3138,0.1542
3160,0.1546
3182,0.1542
3204,0.1542
3227,0.1542
3249,0.1546
3271,0.1546
3294,0.1546
3316,0.1542
3338,0.1550
3361,0.1550
3383,0.1542
3405,0.1542
3428,0.1542
3450,0.1542
3472,0.1542
3494,0.1542
3517,0.1542
3539,0.1542
3561,0.1542
3584,0.1542
3606,0.1542
3628,0.1542
3651,0.1542
3673,0.1542
3695,0.1542
3717,0.1542
3740,0.1542
3762,0.1542
3784,0.1542
3807,0.1542
3829,0.1542
3851,0.1542
3874,0.1542
3896,0.1542
3918,0.1542
3941,0.1542
3963,0.1542
3985,0.1542
4007,0.1542
4030,0.1542
4052,0.1542
4074,0.1542
4097,0.1542
4119,0.1542
4141,0.1542
4164,0.1542
4186,0.1542
4208,0.1542
4230,0.1542
4253,0.1542
4275,0.1542
4297,0.1542
4320,0.1542
4342,0.1542
4364,0.1542
4387,0.1542
4409,0.1542
4431,0.1550
4454,0.1553
4513,0.1747
4535,0.1747
4558,0.1750
4580,0.1750
4602,0.1750
4625,0.1750
4647,0.1754
4669,0.1750
4691,0.1754
4714,0.1754
4736,0.1750
4758,0.1754
4781,0.1750
4803,0.1750
4825,0.1754
4848,0.1750
4870,0.1754
4892,0.1754
4914,0.1750
4937,0.1750
4959,0.1786
4981,0.1817
5004,0.1849
5026,0.1849
5048,0.1849
5071,0.1852
5093,0.1905
5115,0.1951
5138,0.1954
5160,0.1962
5182,0.1962
5204,0.1954
5227,0.1954
5249,0.1947
5271,0.1943
5294,0.1943
5316,0.1943
5338,0.1947
5361,0.1951
5413,0.2155
5435,0.2151
5457,0.2151
5480,0.2151
5502,0.2151
5524,0.2151
5546,0.2151
5569,0.2151
5591,0.2148
5613,0.2148
5636,0.2148
5658,0.2148
5680,0.2148
5703,0.2148
5725,0.2148
5747,0.2148
5770,0.2148
5792,0.2148
5814,0.2151
5836,0.2209
5859,0.2257
5881,0.2257
5903,0.2257
5926,0.2257
5948,0.2253
5970,0.2253
5993,0.2242
6015,0.2242
6037,0.2242
6059,0.2242
6082,0.2242
6104,0.2242
6126,0.2242
6149,0.2242
6171,0.2242
6193,0.2242
6216,0.2242
6238,0.2242
6260,0.2242
6283,0.2242
6305,0.2246
6327,0.2250
6468,0.2552
6491,0.2538
6513,0.2541
6535,0.2560
6558,0.2560
6580,0.2545
6602,0.2549
6625,0.2549
6647,0.2545
6669,0.2552
6691,0.2601
6714,0.2655
6736,0.2655
6758,0.2647
6781,0.2700
6803,0.2725
6825,0.2757
6848,0.2749
6870,0.2749
6892,0.2753
6914,0.2746
6989,0.2939
7011,0.2939
7033,0.2946
7056,0.2950
7078,0.2954
7100,0.2950
7123,0.2950
7145,0.2943
7167,0.2950
7190,0.2950
7212,0.2950
7234,0.2954
7509,0.3552
7532,0.3544
7554,0.3544
7576,0.3544
7599,0.3544
7621,0.3544
7643,0.3544
7665,0.3544
7688,0.3544
7710,0.3544
7732,0.3544
7755,0.3544
7777,0.3544
7799,0.3544
7822,0.3544
7844,0.3544
7866,0.3544
7888,0.3544
7911,0.3544
7933,0.3544
7955,0.3544
7978,0.3544
8000,0.3544
8022,0.3544
8045,0.3544
8067,0.3544
8089,0.3544
8112,0.3544
8134,0.3544
8156,0.3544
8178,0.3544
8201,0.3544
8223,0.3544
8245,0.3544
8268,0.3544
8290,0.3544
8312,0.3544
8335,0.3544
8357,0.3544
8379,0.3544
8401,0.3544
8424,0.3544
8446,0.3544
8468,0.3544
8491,0.3544
8513,0.3544
8535,0.3544
8558,0.3544
8580,0.3544
8602,0.3544
8625,0.3544
8647,0.3544
8669,0.3544
8691,0.3544
8714,0.3544
8736,0.3544
8758,0.3544
8781,0.3544
8803,0.3544
8825,0.3544
8848,0.3544
8870,0.3544
8892,0.3544
8914,0.3544
8937,0.3544
8959,0.3544
8981,0.3544
9004,0.3544
9026,0.3544
9048,0.3544
9071,0.3544
9093,0.3544
9115,0.3544
9138,0.3544
9160,0.3544
9182,0.3544
9204,0.3544
9227,0.3544
9249,0.3544
9271,0.3544
9294,0.3544
9316,0.3544
9338,0.3544
9361,0.3544
9383,0.3544
9405,0.3544
9428,0.3544
9450,0.3544
9472,0.3544
9494,0.3544
9517,0.3544
9539,0.3544
9561,0.3544
9584,0.3544
9606,0.3544
9628,0.3544
9651,0.3544
9673,0.3544
9695,0.3544
9717,0.3544
9740,0.3544
9762,0.3544
9784,0.3544
9807,0.3544
9829,0.3544
9851,0.3548
9866,0.3552
