t_h,xtip_m
0.12,1.28
0.29,1.30
0.46,1.33
0.64,1.39
0.81,1.49
0.98,1.51
1.16,1.51
1.33,1.52
1.50,1.52
1.68,1.58
1.85,1.63
2.02,1.66
2.19,1.67
2.37,1.67
2.54,1.67
2.71,1.67
2.89,1.67
3.06,1.67
3.23,1.68
3.41,1.72
3.58,1.77
3.75,1.80
3.93,1.81
4.10,1.81
4.27,1.84
4.45,1.88
4.62,1.97
4.79,2.01
4.97,2.02
5.14,2.02
5.31,2.03
5.49,2.09
5.66,2.15
5.83,2.17
6.01,2.19
6.18,2.20
6.35,2.21
6.53,2.24
6.70,2.34
6.87,2.38
7.05,2.39
7.22,2.39
7.39,2.40
7.57,2.45
7.74,2.46
7.91,2.47
8.09,2.48
8.26,2.51
8.43,2.52
8.61,2.58
8.78,2.62
8.95,2.66
9.13,2.69
9.30,2.73
9.47,2.73
9.65,2.73
9.82,2.73
9.99,2.73
10.17,2.73
10.34,2.73
10.51,2.73
10.69,2.75
10.86,2.75
11.03,2.75
11.21,2.77
11.38,2.80
11.55,2.82
11.73,2.84
11.90,2.92
12.07,2.95
12.25,2.98
12.42,2.98
12.59,2.98
12.77,2.98
12.94,2.98
13.11,2.98
13.29,3.01
13.46,3.08
13.63,3.10
13.81,3.17
13.98,3.17
14.15,3.17
14.32,3.17
14.50,3.18
14.67,3.20
14.84,3.23
15.02,3.23
15.19,3.23
15.36,3.23
15.54,3.23
15.71,3.23
15.88,3.23
16.06,3.23
16.23,3.24
16.40,3.26
16.58,3.26
16.75,3.30
16.92,3.31
17.10,3.32
17.27,3.32
17.44,3.32
17.62,3.32
17.79,3.32
17.96,3.33
18.14,3.36
18.31,3.44
18.48,3.46
18.66,3.46
18.83,3.46
19.00,3.46
19.18,3.48
19.35,3.48
19.52,3.49
19.70,3.49
19.87,3.48
20.04,3.50
20.22,3.54
20.39,3.59
20.56,3.61
20.74,3.61
20.91,3.67
21.08,3.67
21.26,3.73
21.43,3.75
21.60,3.77
21.78,3.79
21.95,3.82
22.12,3.82
22.30,3.81
22.47,3.81
22.64,3.94
22.82,3.97
22.99,3.99
23.16,3.99
23.34,3.38
23.51,3.38
23.68,3.38
23.86,3.37
24.03,3.30
24.20,3.30
24.38,3.34
24.55,3.38
24.72,3.41
24.90,4.22
25.07,4.28
25.24,4.28
25.42,4.28
25.59,4.28
25.76,3.97
25.94,4.03
26.11,4.06
26.28,4.11
26.45,4.15
26.63,4.08
26.80,4.08
26.97,4.11
27.15,4.11
27.32,4.13
27.49,4.13
27.67,4.12
27.84,4.09
28.01,4.12
28.19,5.11
28.36,5.58
28.53,5.60
28.71,5.59
28.88,5.59
29.05,5.59
29.23,5.47
29.40,4.32
29.57,4.32
29.75,4.34
29.92,4.38
30.09,4.39
30.27,4.43
30.44,4.46
30.61,4.47
30.79,4.50
30.96,4.53
31.13,4.56
31.31,4.60
31.48,4.63
31.65,4.66
31.83,4.66
32.00,4.73
32.17,4.76
32.35,4.75
32.52,4.77
32.69,4.82
32.87,4.84
33.04,4.87
33.21,5.00
33.39,5.94
33.56,5.94
33.73,5.54
33.91,5.50
34.08,5.50
34.25,5.63
34.43,5.71
34.60,5.63
34.77,5.62
34.95,5.62
35.12,5.63
35.29,6.72
35.47,6.72
35.64,6.42
35.81,6.42
35.99,6.42
36.16,7.01
36.33,7.16
36.51,7.22
36.68,7.28
36.85,7.44
37.03,7.51
37.20,7.60
37.37,7.67
37.55,7.78
37.72,7.85
37.89,7.85
38.06,7.78
38.24,7.43
38.41,7.10
38.58,7.17
38.76,7.17
38.93,7.91
41.88,8.96
