t_h,xtip_m
11.55,1.63
11.73,1.73
11.90,1.86
12.07,1.95
12.25,2.01
12.42,2.09
12.59,2.15
12.77,2.16
12.94,2.19
13.11,2.24
13.29,2.26
13.46,2.29
13.63,2.33
13.81,2.35
13.98,2.38
14.15,2.41
14.32,2.43
14.50,2.46
14.67,2.48
14.84,2.52
15.02,2.54
15.19,2.54
15.36,2.54
15.54,2.54
15.71,2.54
15.88,2.54
16.06,2.54
16.23,2.54
16.40,2.58
16.58,2.62
16.75,2.63
16.92,2.63
17.10,2.63
17.27,2.63
17.44,2.63
17.62,2.63
17.79,2.63
17.96,2.63
18.14,2.67
18.31,2.72
18.48,2.73
18.66,2.78
18.83,2.83
19.00,2.87
19.18,2.88
19.35,2.88
19.52,2.88
19.70,2.88
19.87,2.92
20.04,2.98
20.22,3.00
20.39,3.03
20.56,3.08
20.74,3.10
20.91,3.12
21.08,3.17
21.26,3.17
21.43,3.19
21.60,3.24
21.78,3.26
21.95,3.28
22.12,3.33
22.30,3.39
22.47,3.44
22.64,3.45
22.82,3.48
22.99,3.52
23.16,3.55
23.34,3.57
23.51,3.61
23.68,3.65
23.86,3.67
24.03,3.69
24.20,3.74
24.38,3.80
24.55,3.80
24.72,3.80
24.90,3.80
25.07,3.80
25.24,3.80
25.42,3.82
25.59,3.87
25.76,3.96
25.94,3.98
26.11,4.03
26.28,4.08
26.45,4.14
26.63,4.19
26.80,4.22
26.97,4.22
27.15,4.28
27.32,4.34
27.49,4.40
27.67,4.42
27.84,4.44
28.01,4.48
28.19,4.56
28.36,4.60
28.53,4.62
28.71,4.67
28.88,4.73
29.05,4.78
29.23,4.84
29.40,4.88
29.57,4.92
29.75,4.97
29.92,5.01
30.09,5.03
30.27,5.10
30.44,5.13
30.61,5.19
30.79,5.22
30.96,5.24
31.13,5.28
31.31,5.33
31.48,5.38
31.65,5.47
31.83,5.52
32.00,5.59
32.17,5.67
32.35,5.72
32.52,5.77
32.69,5.84
32.87,5.91
33.04,5.98
33.21,6.07
33.39,6.12
33.56,6.17
33.73,6.21
33.91,6.25
34.08,6.33
34.25,6.38
34.43,6.39
34.60,6.46
34.77,6.58
34.95,6.69
35.12,6.78
35.29,6.87
35.47,6.92
35.64,6.97
35.81,7.06
35.99,7.18
36.16,7.28
36.33,7.33
36.51,7.42
36.68,7.51
36.85,7.63
37.03,7.72
37.20,7.91
37.37,8.03
37.55,8.26
37.72,8.44
37.89,8.47
38.06,8.47
38.24,8.47
38.41,8.47
38.58,8.47
38.76,8.47
38.93,8.47
39.10,8.47
39.28,8.47
39.45,8.47
39.62,8.47
39.80,8.47
39.97,8.47
40.14,8.47
40.32,8.47
40.49,8.47
40.66,8.47
40.84,8.47
41.01,8.47
41.18,8.47
41.36,8.47
41.53,8.47
41.70,8.47
41.88,8.47
