t_s,l_m
108,0.1146
189,0.1658
269,0.2352
350,0.2804
430,0.3226
511,0.3377
591,0.3648
672,0.3980
752,0.4221
833,0.4462
914,0.4673
994,0.4884
1075,0.5035
1155,0.5156
1236,0.5397
1316,0.5608
1397,0.5729
1477,0.5849
1558,0.5940
1638,0.6060
1719,0.6211
1800,0.6332
1880,0.6482
1961,0.6633
2041,0.6693
2122,0.6874
2202,0.7085
2283,0.7176
2363,0.7236
2444,0.7387
2524,0.7568
2605,0.7719
2685,0.7839
2766,0.7839
2847,0.7839
2927,0.7899
3008,0.8050
3088,0.8261
3169,0.8382
3249,0.8382
3330,0.8382
3410,0.8382
3491,0.8472
3571,0.8563
3652,0.8714
3732,0.8834
3813,0.8925
3894,0.8985
3974,0.9045
4055,0.9166
4135,0.9286
4216,0.9407
4296,0.9437
4377,0.9497
4457,0.9558
4538,0.9558
4618,0.9558
4699,0.9558
4780,0.9588
4860,0.9769
4941,1.0010
5021,1.0010
5102,1.0010
5182,1.0101
5263,1.0312
5343,1.0372
5424,1.0402
5504,1.0402
5585,1.0402
5665,1.0492
5746,1.0673
5827,1.0824
5907,1.0824
5988,1.0915
6068,1.1005
6149,1.1005
6229,1.1005
6310,1.1005
6390,1.1005
6471,1.1005
6551,1.1095
6632,1.1246
6713,1.1397
6793,1.1397
6874,1.1367
6954,1.1397
7035,1.1457
7115,1.1548
7196,1.1698
7276,1.1910
7357,1.2000
7437,1.2030
7518,1.2030
7598,1.2030
7679,1.2060
7760,1.2121
7840,1.2332
7921,1.2422
8001,1.2422
8082,1.2422
8162,1.2482
8243,1.2573
8323,1.2603
8404,1.2663
8484,1.2784
8565,1.2784
8646,1.2784
8726,1.2784
8807,1.2784
8887,1.2814
8968,1.2995
9048,1.3146
9129,1.3206
9209,1.3206
9290,1.3236
9370,1.3327
9451,1.3417
9531,1.3508
9612,1.3598
9693,1.3598
9773,1.3628
9854,1.3688
9934,1.3809
10015,1.3839
10095,1.3899
10176,1.3930
10256,1.4020
10337,1.4020
10417,1.4020
10498,1.4111
10578,1.4231
10659,1.4291
10740,1.4472
10820,1.4593
10901,1.4593
10981,1.4593
11062,1.4593
11142,1.4593
11223,1.4593
11303,1.4593
11384,1.4683
11464,1.4804
11545,1.4804
