t_h,l_over_L
-44.47,0.0028
-44.22,0.0028
-43.98,0.0028
-43.09,0.0028
-42.85,0.0028
-41.96,0.0028
-41.07,0.0028
-40.83,0.0028
-39.94,0.0028
-39.05,0.0028
-38.16,0.0028
-37.92,0.0028
-37.03,0.0028
-36.14,0.0028
-35.90,0.0028
-35.01,0.0028
-34.12,0.0028
-33.88,0.0028
-32.99,0.0028
-32.11,0.0028
-31.86,0.0028
-30.97,0.0028
-30.09,0.0028
-29.84,0.0028
-28.95,0.0028
-28.07,0.0028
-27.82,0.0028
-26.93,0.0028
-26.05,0.0028
-25.16,0.0028
-24.91,0.0028
-24.03,0.0028
-23.14,0.0028
-22.89,0.0028
-21.93,0.0028
-21.04,0.0028
-20.15,0.0028
-19.91,0.0028
-19.02,0.0028
-18.13,0.0028
-17.89,0.0028
-17.00,0.0028
-16.11,0.0028
-15.87,0.0028
-14.98,0.0028
-14.09,0.0028
-13.68,0.0028
-13.44,0.0034
-13.20,0.0046
-12.96,0.0051
-12.72,0.0068
-12.47,0.0080
-12.23,0.0102
-11.99,0.0114
-11.75,0.0125
-11.50,0.0148
-11.26,0.0159
-11.02,0.0182
-10.78,0.0188
-10.53,0.0216
-10.29,0.0228
-10.05,0.0250
-9.81,0.0256
-9.56,0.0285
-9.32,0.0307
-9.08,0.0330
-8.84,0.0330
-8.60,0.0359
-8.35,0.0376
-8.11,0.0404
-7.87,0.0404
-7.63,0.0433
-7.38,0.0450
-7.14,0.0478
-6.90,0.0478
-6.66,0.0501
-6.41,0.0524
-6.17,0.0546
-5.93,0.0552
-5.69,0.0569
-5.44,0.0592
-5.20,0.0609
-4.96,0.0626
-4.72,0.0637
-4.47,0.0660
-4.23,0.0672
-3.99,0.0689
-3.75,0.0706
-3.51,0.0717
-3.26,0.0734
-3.02,0.0757
-2.78,0.0746
-2.54,0.0746
-2.29,0.0746
-2.05,0.0751
-1.81,0.0751
-1.57,0.0746
-1.32,0.0746
-1.08,0.0751
-0.84,0.0751
-0.60,0.0746
-0.35,0.0746
-0.11,0.0751
0.13,0.0751
0.37,0.0746
0.61,0.0746
0.86,0.0751
1.10,0.0751
1.34,0.0746
1.58,0.0746
1.83,0.0751
2.07,0.0751
2.31,0.0746
2.55,0.0746
2.80,0.0751
3.04,0.0751
3.28,0.0746
3.52,0.0746
3.77,0.0746
4.01,0.0751
4.25,0.0746
4.49,0.0746
4.74,0.0746
4.98,0.0751
5.22,0.0746
5.46,0.0746
5.70,0.0746
5.95,0.0751
6.19,0.0751
6.43,0.0746
6.67,0.0746
6.92,0.0751
7.16,0.0751
7.40,0.0746
7.64,0.0746
7.89,0.0751
8.13,0.0751
8.37,0.0746
8.61,0.0746
8.86,0.0751
9.10,0.0751
9.34,0.0746
9.58,0.0746
9.82,0.0751
10.07,0.0751
10.31,0.0746
10.55,0.0746
10.79,0.0751
11.04,0.0751
11.28,0.0746
11.52,0.0746
11.76,0.0746
12.01,0.0751
12.25,0.0746
12.49,0.0746
12.73,0.0746
12.98,0.0751
13.22,0.0751
13.46,0.0746
13.70,0.0746
13.95,0.0751
14.19,0.0751
14.43,0.0746
14.67,0.0746
14.91,0.0751
15.16,0.0751
15.40,0.0746
15.64,0.0746
15.88,0.0751
16.13,0.0751
16.37,0.0746
16.61,0.0746
16.85,0.0751
17.10,0.0751
17.34,0.0746
17.58,0.0746
17.82,0.0751
18.07,0.0751
18.31,0.0746
18.55,0.0746
18.79,0.0746
19.04,0.0751
19.28,0.0746
19.52,0.0746
19.76,0.0746
20.00,0.0751
20.25,0.0746
20.49,0.0746
20.73,0.0746
20.97,0.0751
21.22,0.0751
21.46,0.0746
21.70,0.0746
21.94,0.0751
22.19,0.0751
22.43,0.0746
22.67,0.0746
22.91,0.0751
23.16,0.0751
23.40,0.0746
23.64,0.0746
23.88,0.0751
24.12,0.0751
24.37,0.0746
24.61,0.0746
24.85,0.0751
25.09,0.0751
25.34,0.0746
25.58,0.0746
25.82,0.0751
26.06,0.0751
26.31,0.0746
26.55,0.0746
26.79,0.0746
27.03,0.0751
27.28,0.0746
27.52,0.0746
27.76,0.0746
28.00,0.0751
28.25,0.0746
28.49,0.0746
28.73,0.0746
28.97,0.0751
29.21,0.0751
29.46,0.0746
29.70,0.0746
29.94,0.0751
30.18,0.0751
30.43,0.0746
30.67,0.0746
30.91,0.0751
31.15,0.0751
31.40,0.0746
31.64,0.0746
31.88,0.0751
32.12,0.0751
32.37,0.0746
32.61,0.0746
32.85,0.0751
33.09,0.0751
33.33,0.0746
33.58,0.0746
33.82,0.0751
34.06,0.0751
34.30,0.0746
34.55,0.0746
34.79,0.0746
35.03,0.0751
35.19,0.0751
