t_h,waterlevel_mNAP
-44.39,-0.072
-44.14,-0.120
-43.90,-0.199
-43.66,-0.271
-43.42,-0.339
-43.17,-0.406
-42.93,-0.474
-42.69,-0.538
-42.45,-0.602
-42.20,-0.665
-41.96,-0.721
-41.72,-0.773
-41.48,-0.821
-41.23,-0.869
-40.99,-0.908
-40.75,-0.904
-40.51,-0.888
-40.26,-0.873
-40.02,-0.833
-39.78,-0.733
-39.54,-0.586
-39.30,-0.442
-39.05,-0.295
-38.81,-0.139
-38.57,0.016
-38.33,0.171
-38.08,0.327
-37.84,0.446
-37.60,0.534
-37.36,0.625
-37.11,0.717
-36.87,0.781
-36.63,0.829
-36.39,0.869
-36.14,0.916
-35.90,0.936
-35.66,0.932
-35.42,0.924
-35.18,0.916
-34.93,0.892
-34.69,0.837
-34.45,0.781
-34.21,0.725
-33.96,0.653
-33.72,0.574
-33.48,0.486
-33.24,0.398
-32.99,0.311
-32.75,0.227
-32.51,0.143
-32.27,0.056
-32.02,-0.028
-31.78,-0.104
-31.54,-0.179
-31.30,-0.255
-31.05,-0.327
-30.81,-0.398
-30.57,-0.466
-30.33,-0.534
-30.09,-0.602
-29.84,-0.661
-29.60,-0.717
-29.36,-0.773
-29.12,-0.829
-28.87,-0.869
-28.63,-0.888
-28.39,-0.904
-28.15,-0.920
-27.90,-0.896
-27.66,-0.809
-27.42,-0.713
-27.18,-0.618
-26.93,-0.494
-26.69,-0.331
-26.45,-0.159
-26.21,0.016
-25.96,0.171
-25.72,0.303
-25.48,0.414
-25.24,0.534
-25.00,0.645
-24.75,0.741
-24.51,0.829
-24.27,0.916
-24.03,1.004
-23.78,1.096
-23.54,1.191
-23.30,1.279
-23.06,1.367
-22.81,1.434
-22.57,1.482
-22.33,1.526
-22.09,1.570
-21.84,1.586
-21.60,1.586
-21.36,1.578
-21.12,1.578
-20.88,1.574
-20.63,1.566
-20.39,1.562
-20.15,1.558
-19.91,1.554
-19.66,1.558
-19.42,1.562
-19.18,1.566
-18.94,1.574
-18.69,1.582
-18.45,1.598
-18.21,1.606
-17.97,1.622
-17.72,1.641
-17.48,1.661
-17.24,1.681
-17.00,1.709
-16.75,1.745
-16.51,1.785
-16.27,1.825
-16.03,1.880
-15.79,1.976
-15.54,2.100
-15.30,2.223
-15.06,2.363
-14.82,2.558
-14.57,2.797
-14.33,3.036
-14.09,3.267
-13.85,3.530
-13.60,3.737
-13.36,3.968
-13.12,4.191
-12.88,4.390
-12.63,4.550
-12.39,4.713
-12.15,4.853
-11.83,5.064
-11.58,5.171
-11.34,5.283
-11.10,5.394
-10.86,5.486
-10.61,5.550
-10.37,5.614
-10.13,5.677
-9.89,5.717
-9.65,5.733
