l_over_L,Heq_over_Hc
0.002,0.115
0.006,0.087
0.010,0.097
0.014,0.097
0.018,0.057
0.023,0.064
0.027,0.074
0.031,0.081
0.035,0.091
0.039,0.100
0.043,0.110
0.047,0.122
0.051,0.132
0.055,0.141
0.059,0.153
0.064,0.160
0.068,0.174
0.072,0.182
0.076,0.191
0.080,0.203
0.084,0.214
0.088,0.223
0.092,0.232
0.096,0.242
0.101,0.253
0.105,0.263
0.109,0.274
0.113,0.283
0.117,0.294
0.121,0.304
0.125,0.314
0.129,0.326
0.133,0.336
0.137,0.346
0.142,0.355
0.146,0.365
0.150,0.375
0.154,0.386
0.158,0.396
0.162,0.405
0.166,0.419
0.170,0.427
0.174,0.440
0.178,0.447
0.183,0.458
0.187,0.468
0.191,0.481
0.195,0.488
0.199,0.498
0.203,0.507
0.207,0.519
0.211,0.530
0.215,0.541
0.219,0.550
0.224,0.560
0.228,0.570
0.232,0.580
0.236,0.591
0.240,0.604
0.244,0.612
0.248,0.622
0.252,0.631
0.256,0.642
0.261,0.652
0.265,0.662
0.269,0.674
0.273,0.682
0.277,0.692
0.281,0.705
0.285,0.714
0.289,0.724
0.293,0.733
0.297,0.745
0.302,0.754
0.306,0.765
0.310,0.774
0.314,0.784
0.318,0.796
0.322,0.806
0.326,0.815
0.330,0.826
0.334,0.837
0.338,0.847
0.343,0.858
0.347,0.868
0.351,0.876
0.355,0.887
0.359,0.897
0.363,0.907
0.367,0.917
0.371,0.927
0.375,0.939
0.379,0.943
0.384,0.959
0.388,0.966
0.408,0.973
0.412,0.991
0.416,0.991
0.421,0.991
0.425,0.991
0.429,0.991
0.433,0.990
0.437,0.990
0.441,0.989
0.445,0.989
0.449,0.989
0.453,0.988
0.457,0.987
0.462,0.986
0.466,0.986
0.470,0.985
0.474,0.985
0.478,0.984
0.482,0.984
0.486,0.983
0.490,0.984
0.494,0.982
0.498,0.980
0.503,0.980
0.507,0.979
0.511,0.979
0.515,0.979
0.519,0.977
0.523,0.977
0.527,0.976
0.531,0.976
0.535,0.974
0.539,0.974
0.544,0.973
0.548,0.973
0.552,0.973
0.556,0.971
0.560,0.971
0.564,0.969
0.568,0.969
0.572,0.969
0.576,0.969
0.581,0.968
0.585,0.966
0.589,0.966
0.593,0.967
0.597,0.963
0.601,0.963
0.605,0.963
0.609,0.962
0.613,0.962
0.617,0.961
0.622,0.960
0.626,0.960
0.630,0.959
0.634,0.959
0.638,0.957
0.642,0.957
0.646,0.955
0.650,0.955
0.654,0.955
0.658,0.955
0.663,0.955
0.667,0.952
0.671,0.951
0.675,0.951
0.679,0.951
0.683,0.951
0.687,0.950
0.691,0.949
0.695,0.948
0.699,0.948
0.704,0.946
0.708,0.946
0.712,0.944
0.716,0.944
0.720,0.943
0.724,0.943
0.728,0.943
0.732,0.941
0.736,0.941
0.741,0.940
0.745,0.940
0.749,0.939
0.753,0.939
0.757,0.937
0.761,0.937
0.765,0.937
0.769,0.937
0.773,0.935
0.777,0.933
0.782,0.933
0.786,0.932
0.790,0.932
0.794,0.931
0.798,0.930
0.802,0.930
0.806,0.929
0.810,0.929
0.814,0.927
0.818,0.927
0.823,0.926
0.827,0.926
0.831,0.926
0.835,0.925
0.839,0.924
0.843,0.923
0.847,0.923
0.851,0.921
0.855,0.921
0.859,0.921
0.864,0.920
0.868,0.919
0.872,0.918
0.876,0.918
0.880,0.916
0.884,0.916
0.888,0.915
0.892,0.915
0.896,0.913
0.901,0.913
0.905,0.913
0.909,0.912
0.913,0.912
0.917,0.910
0.921,0.910
0.925,0.908
0.929,0.908
0.933,0.908
0.937,0.907
0.942,0.907
0.946,0.905
0.950,0.905
0.954,0.904
0.958,0.904
0.962,0.902
0.966,0.902
0.970,0.902
0.974,0.901
0.978,0.901
0.983,0.899
0.987,0.899
0.991,0.897
0.995,0.897
0.997,0.897
