river,kp,trace_left_m_msl,trace_right_m_msl,crest_left_m_msl,crest_right_m_msl,bed_min_m_msl,bed_avg_m_msl
Tokachi,2.4,0.746,1.42,,,-4.58,-1.786
Tokachi,3.0,0.932,1.375,6.468,8.368,-5.578,-2.012
Tokachi,4.0,1.52,1.889,6.612,8.725,-6.506,-2.754
Tokachi,5.0,1.6,1.94,8.269,9.296,-6.061,-1.915
Tokachi,6.0,2.53,2.897,8.028,8.314,-3.19,-2.208
Tokachi,7.0,3.39,,8.686,,-2.312,-1.287
Tokachi,8.0,3.861,3.862,9.394,8.403,-3.462,-1.496
Tokachi,9.0,4.68,4.553,9.848,9.525,-3.445,-0.749
Tokachi,10.0,4.95,4.954,10.341,9.704,-2.264,-1.261
Tokachi,11.0,5.28,5.491,11.386,9.584,-2.599,-1.043
Tokachi,12.0,5.49,5.515,11.635,9.908,-1.366,-0.643
Tokachi,13.0,6.01,6.205,12.108,10.305,-6.681,-1.107
Tokachi,14.0,6.52,6.52,12.391,11.221,-1.583,-0.607
Tokachi,15.0,6.78,6.54,12.602,11.683,-1.484,-0.491
Tokachi,16.0,6.8,6.656,12.79,11.524,-1.453,-0.19
Tokachi,17.0,6.98,6.968,13.096,,-2.669,0.155
Tokachi,18.0,7.568,7.507,13.325,13.656,-1.219,0.352
Tokachi,19.0,7.44,7.765,13.632,13.896,-0.82,0.578
Tokachi,20.0,7.81,8.129,13.8,14.443,-1.033,1.123
Tokachi,21.0,8.23,8.354,14.327,14.079,-0.763,0.992
Tokachi,22.0,8.48,8.772,13.977,14.059,0.2,1.102
Tokachi,23.0,8.66,9.103,14.269,14.629,0.523,1.409
Tokachi,24.0,8.95,8.916,14.511,14.973,0.884,1.478
Tokachi,25.0,9.48,9.669,14.93,15.275,1.132,1.906
Tokachi,26.0,9.73,9.575,15.621,15.683,0.316,2.5
Tokachi,27.0,9.92,9.803,15.375,15.89,0.597,2.753
Tokachi,28.0,10.17,10.341,16.373,16.556,0.932,2.869
Tokachi,29.0,10.29,10.519,16.603,16.743,2.395,3.124
Tokachi,30.0,10.63,10.34,17.131,17.357,1.514,3.369
Tokachi,31.0,10.99,11.053,17.394,17.777,3.0,3.724
Tokachi,32.0,11.39,11.419,17.778,18.068,2.468,4.209
Tokachi,33.0,11.8,11.842,18.313,18.516,1.413,4.803
Tokachi,34.0,12.59,12.161,18.862,18.534,4.636,5.437
Tokachi,35.0,13.16,12.644,19.521,19.15,3.83,6.165
Tokachi,36.0,13.51,13.201,19.867,19.856,4.971,7.606
Tokachi,37.0,14.36,14.187,20.611,20.262,6.306,8.64
Tokachi,38.0,15.57,15.208,21.597,20.732,6.581,9.085
Tokachi,39.0,15.99,16.176,22.112,21.648,5.825,10.992
Tokachi,40.0,16.37,15.711,22.327,22.036,8.928,9.904
Tokachi,40.2,16.196,15.752,22.367,22.15,8.968,10.379
Tokachi,40.4,16.189,15.905,22.152,22.281,8.711,11.265
Tokachi,40.6,16.464,16.0,,22.18,8.917,11.222
Tokachi,40.8,16.663,16.166,,22.293,8.281,10.871
Tokachi,41.0,,16.347,,22.672,7.012,11.004
Tokachi,41.2,16.378,16.681,,22.541,7.668,11.743
Tokachi,41.4,16.426,16.821,,22.687,4.183,11.759
Tokachi,41.6,16.59,16.952,,23.424,10.212,11.302
Tokachi,41.8,16.54,17.012,,23.22,8.648,11.761
Tokachi,42.0,16.921,17.088,,23.741,10.495,12.039
Tokachi,42.2,17.64,17.185,,24.11,9.962,12.083
