datetime_jst,ryutan_joryu,satsunai_dam_chokka,minami_satsunai,kami_satsunai,daini_okawabashi,nantaibashi,satsunai
2016-08-01T01:00,8.7,,15.92,28.94,41.71,26.08,30.97
2016-08-01T02:00,8.27,,15.92,28.94,41.71,25.03,30.97
2016-08-01T03:00,8.27,,15.92,28.39,41.71,25.03,30.44
2016-08-01T04:00,8.27,,15.92,28.39,40.21,25.03,30.44
2016-08-01T05:00,8.27,,15.42,28.39,40.21,25.03,30.44
2016-08-01T06:00,8.27,,15.42,28.39,40.21,25.03,30.44
2016-08-01T07:00,7.85,,15.42,28.39,40.21,25.03,30.44
2016-08-01T08:00,8.27,,15.42,27.84,40.21,25.03,30.44
2016-08-01T09:00,8.27,,15.42,27.84,40.21,24.0,30.44
2016-08-01T10:00,8.7,,15.42,27.84,40.21,24.0,29.93
2016-08-01T11:00,9.14,,16.42,28.39,40.21,24.0,29.93
2016-08-01T12:00,20.24,,16.93,29.5,40.21,24.0,29.93
2016-08-01T13:00,38.38,,19.04,31.79,40.21,25.03,30.44
2016-08-01T14:00,55.48,,24.25,36.01,40.21,25.03,30.97
2016-08-01T15:00,51.18,,40.02,53.1,43.25,26.08,31.49
2016-08-01T16:00,48.06,,46.12,93.01,44.8,27.16,32.03
2016-08-01T17:00,40.23,,37.7,138.94,58.26,29.37,32.56
2016-08-01T18:00,33.94,,33.27,133.93,81.76,44.49,32.56
2016-08-01T19:00,29.78,,32.2,119.46,88.26,61.1,34.2
2016-08-01T20:00,26.65,,31.15,110.28,95.0,64.41,44.22
2016-08-01T21:00,25.15,,30.09,101.46,97.3,67.8,53.43
2016-08-01T22:00,23.69,,29.41,97.19,92.72,69.52,57.65
2016-08-01T23:00,22.98,,29.41,101.46,90.48,66.09,61.28
2016-08-02T00:00,21.59,,29.41,97.19,86.06,64.41,62.03
2016-08-02T01:00,20.24,,29.41,93.01,81.76,59.49,59.82
2016-08-02T02:00,19.58,,29.41,93.01,79.65,59.49,58.37
2016-08-02T03:00,18.93,,28.74,88.92,77.57,57.89,56.93
2016-08-02T04:00,18.3,,28.74,84.92,77.57,56.31,55.52
2016-08-02T05:00,17.67,,28.74,84.92,75.51,54.76,54.12
2016-08-02T06:00,17.67,,28.74,84.92,73.49,54.76,53.43
2016-08-02T07:00,17.06,,28.74,84.92,73.49,53.23,52.06
2016-08-02T08:00,16.45,,28.74,84.92,73.49,51.72,51.38
2016-08-02T09:00,16.45,,28.08,84.92,71.49,51.72,51.38
2016-08-02T10:00,15.86,,28.08,84.92,71.49,51.72,50.71
2016-08-02T11:00,15.86,,28.08,81.02,71.49,51.72,50.04
2016-08-02T12:00,15.28,,27.42,77.21,69.52,48.76,50.04
2016-08-02T13:00,14.71,,27.42,77.21,69.52,50.23,50.04
2016-08-02T14:00,14.71,,27.42,73.49,69.52,51.72,49.38
2016-08-02T15:00,14.15,,27.42,77.21,67.57,53.23,48.71
2016-08-02T16:00,14.15,,27.42,73.49,67.57,53.23,48.71
2016-08-02T17:00,13.6,,26.77,73.49,67.57,51.72,48.71
2016-08-02T18:00,13.6,,26.77,69.86,65.65,51.72,48.06
2016-08-02T19:00,15.28,,26.77,69.86,65.65,50.23,48.06
2016-08-02T20:00,14.15,,26.77,69.86,65.65,50.23,48.06
2016-08-02T21:00,13.6,,26.13,66.32,65.65,50.23,48.06
2016-08-02T22:00,13.06,,26.13,69.86,65.65,50.23,47.41
2016-08-02T23:00,13.06,,26.13,66.32,65.65,48.76,47.41
2016-08-03T00:00,12.53,,26.13,66.32,65.65,48.76,47.41
2016-08-03T01:00,12.53,,25.5,66.32,65.65,50.23,47.41
2016-08-03T02:00,12.01,,25.5,62.88,65.65,48.76,47.41
2016-08-03T03:00,12.01,,25.5,62.88,63.76,48.76,47.41
2016-08-03T04:00,12.01,,24.87,62.88,63.76,48.76,47.41
2016-08-03T05:00,11.51,,24.87,59.53,63.76,48.76,47.41
2016-08-03T06:00,11.51,,24.87,59.53,61.9,47.32,46.76
2016-08-03T07:00,11.01,,24.87,59.53,61.9,45.9,46.12
2016-08-03T08:00,11.01,,24.25,59.53,61.9,45.9,46.12
2016-08-03T09:00,11.01,,24.25,59.53,61.9,44.49,45.48
2016-08-03T10:00,11.01,,24.25,56.26,61.9,44.49,45.48
2016-08-03T11:00,10.53,,23.64,56.26,61.9,44.49,45.48
2016-08-03T12:00,10.53,,23.64,53.1,60.07,43.12,44.84
2016-08-03T13:00,10.53,,23.64,53.1,60.07,43.12,44.84
2016-08-03T14:00,10.06,,23.64,50.02,60.07,43.12,44.22
2016-08-03T15:00,10.06,,23.04,50.02,58.26,43.12,44.22
2016-08-03T16:00,10.06,,23.04,47.03,58.26,41.76,43.59
2016-08-03T17:00,9.59,,23.04,47.03,58.26,40.42,43.59
2016-08-03T18:00,9.59,,23.04,47.03,58.26,41.76,42.97
2016-08-03T19:00,9.59,,22.45,47.03,56.48,40.42,42.97
2016-08-03T20:00,9.59,,22.45,47.03,56.48,40.42,42.35
2016-08-03T21:00,9.14,,22.45,44.14,56.48,40.42,41.74
2016-08-03T22:00,9.14,,21.86,41.34,56.48,39.11,41.74
2016-08-03T23:00,9.14,,21.86,41.34,56.48,39.11,41.14
2016-08-04T00:00,9.14,,21.86,37.89,56.48,37.81,41.14
2016-08-04T01:00,8.7,,21.86,37.89,54.73,37.81,41.14
2016-08-04T02:00,8.7,,21.28,37.89,54.73,39.11,40.53
2016-08-04T03:00,8.7,,21.28,37.26,54.73,37.81,40.53
2016-08-04T04:00,8.7,,21.28,36.63,54.73,37.81,40.53
2016-08-04T05:00,8.27,,21.28,36.63,53.01,37.81,40.53
2016-08-04T06:00,8.27,,20.71,36.63,53.01,37.81,39.93
2016-08-04T07:00,8.27,,20.71,36.63,53.01,37.81,39.93
2016-08-04T08:00,8.27,,20.71,36.01,53.01,37.81,39.93
2016-08-04T09:00,8.27,,20.71,36.01,53.01,36.54,39.34
2016-08-04T10:00,7.85,,19.59,35.39,51.31,36.54,39.34
2016-08-04T11:00,7.85,,19.59,35.39,51.31,36.54,39.34
2016-08-04T12:00,7.85,,19.04,34.17,51.31,35.29,38.75
