datetime_jst,kyoeibashi,kumaushi,memurobuto,obihiro,tokachi_chuo_ohashi,chiyoda,moiwa,otsu
2016-09-01T01:00,341.04,,458.77,1115.35,2308.43,3123.79,5795.55,
2016-09-01T02:00,349.06,,448.74,1056.32,2184.35,2914.31,5515.89,
2016-09-01T03:00,361.27,,458.77,1007.0,2087.55,2776.1,5211.52,
2016-09-01T04:00,369.53,,458.77,974.78,2016.39,2663.5,4915.78,
2016-09-01T05:00,365.39,,458.77,950.96,1992.94,2553.22,4628.68,
2016-09-01T06:00,357.18,,458.77,927.43,1923.42,2466.67,4379.12,
2016-09-01T07:00,349.06,,448.74,904.2,1855.14,2395.69,4136.48,
2016-09-01T08:00,341.04,,443.77,873.68,1821.46,2325.75,3955.6,
2016-09-01T09:00,341.04,,468.91,843.68,1744.08,2229.57,3738.52,
2016-09-01T10:00,333.11,,453.74,814.21,1700.62,2142.08,3527.57,
2016-09-01T11:00,329.18,,448.74,778.11,1668.38,2062.87,3386.1,
2016-09-01T12:00,325.27,,443.77,749.82,1604.83,2004.45,3210.23,
2016-09-01T13:00,321.39,,438.82,722.05,1573.51,1934.18,3063.21,
2016-09-01T14:00,321.39,,438.82,701.57,1522.01,1965.96,2962.09,
2016-09-01T15:00,321.39,,433.91,668.08,1501.65,1934.18,2914.82,
2016-09-01T16:00,317.53,,433.91,654.92,1461.34,1883.86,2775.3,
2016-09-01T17:00,317.53,,429.02,628.99,1421.58,1840.37,2691.72,
2016-09-01T18:00,313.69,,419.32,609.88,1401.9,1815.75,2624.29,
2016-09-01T19:00,313.69,,409.74,591.07,1372.65,1785.21,2535.71,
2016-09-01T20:00,382.09,,404.99,591.07,1315.06,1748.9,2477.51,
2016-09-01T21:00,452.63,,400.27,591.07,1305.58,1707.02,2405.7,
2016-09-01T22:00,549.2,,429.02,572.55,1296.14,1677.41,2334.95,
2016-09-01T23:00,579.99,,489.51,566.44,1296.14,1653.9,2272.17,
2016-09-02T00:00,585.2,,565.14,591.07,1286.73,1630.57,2210.26,
2016-09-02T01:00,564.49,,622.47,628.99,1334.12,1624.76,2155.93,
2016-09-02T02:00,564.49,,628.36,674.71,1362.96,1642.22,2108.96,
2016-09-02T03:00,564.49,,634.27,701.57,1401.9,1677.41,2069.11,
2016-09-02T04:00,559.37,,610.79,694.8,1401.9,1707.02,2042.75,
2016-09-02T05:00,559.37,,610.79,688.08,1392.12,1730.89,2029.63,
2016-09-02T06:00,559.37,,610.79,674.71,1382.36,1730.89,2016.56,
2016-09-02T07:00,564.49,,576.38,661.49,1353.31,1718.93,2003.53,
2016-09-02T08:00,569.63,,570.74,648.39,1353.31,1695.14,1997.03,
2016-09-02T09:00,554.27,,554.0,641.89,1343.7,1671.51,1977.59,
2016-09-02T10:00,554.27,,548.47,628.99,1334.12,1636.39,1964.69,
2016-09-02T11:00,539.12,,542.98,628.99,1315.06,1607.4,1939.01,
2016-09-02T12:00,534.12,,542.98,616.21,1315.06,1590.13,1919.86,
2016-09-02T13:00,524.18,,548.47,603.57,1296.14,1567.25,1900.8,
2016-09-02T14:00,514.34,,554.0,597.3,1286.73,1555.88,1875.54,
2016-09-02T15:00,509.45,,548.47,591.07,1286.73,1544.54,1856.71,
2016-09-02T16:00,504.59,,542.98,591.07,1277.35,1516.38,1831.74,
2016-09-02T17:00,494.93,,537.5,591.07,1277.35,1505.19,1806.95,
2016-09-02T18:00,485.37,,537.5,591.07,1258.71,1499.61,1782.32,
2016-09-02T19:00,480.62,,537.5,584.86,1240.2,1482.93,1757.87,
2016-09-02T20:00,475.9,,532.06,572.55,1221.82,1455.34,1727.53,
2016-09-02T21:00,466.52,,532.06,566.44,1203.59,1422.58,1697.46,
2016-09-02T22:00,457.24,,537.5,560.37,1185.49,1406.34,1667.66,
2016-09-02T23:00,457.24,,526.65,548.32,1185.49,1390.19,1644.0,
2016-09-03T00:00,452.63,,526.65,542.34,1176.49,1384.82,1614.67,
2016-09-03T01:00,434.44,,526.65,536.4,1158.6,1374.13,1591.4,
2016-09-03T02:00,421.03,,532.06,524.61,1158.6,1352.87,1568.29,
2016-09-03T03:00,412.22,,537.5,518.76,1158.6,1310.84,1551.07,
2016-09-03T04:00,403.49,,532.06,518.76,1149.7,1305.63,1528.26,
2016-09-03T05:00,403.49,,532.06,507.17,1140.84,1305.63,1528.26,
2016-09-03T06:00,394.86,,542.98,501.42,1132.01,1290.07,1528.26,
2016-09-03T07:00,382.09,,548.47,495.71,1123.22,1284.91,1516.92,
2016-09-03T08:00,373.69,,532.06,495.71,1114.46,1269.47,1511.27,
2016-09-03T09:00,365.39,,521.26,490.03,1114.46,1259.24,1488.75,
2016-09-03T10:00,361.27,,521.26,484.38,1097.05,1238.89,1471.98,
2016-09-03T11:00,361.27,,521.26,478.76,1097.05,1213.68,1455.3,
2016-09-03T12:00,365.39,,521.26,473.18,1088.4,1198.68,1433.21,
2016-09-03T13:00,365.39,,521.26,467.63,1079.77,1178.83,1416.75,
