river,kp,design_hwl_m_msl,trace_left_m_msl,levee_left,trace_right_m_msl,levee_right
Tokachi,2.4,5.1000000000000005,1.215,ウツナイ築堤,1.394,大津築堤
Tokachi,2.6,5.3,1.598,ウツナイ築堤,1.485,大津築堤
Tokachi,2.8,5.52,1.686,ウツナイ築堤,1.64,大津築堤
Tokachi,3.0,5.73,1.802,ウツナイ築堤,1.764,大津築堤
Tokachi,3.2,5.83,2.217,ウツナイ築堤,1.848,大津築堤
Tokachi,3.4,5.9399999999999995,2.386,ウツナイ築堤,1.962,大津築堤
Tokachi,3.6,6.04,2.738,ウツナイ築堤,1.997,大津築堤
Tokachi,3.8,6.12,2.831,ウツナイ築堤,2.144,大津築堤
Tokachi,4.0,6.25,2.95,ウツナイ築堤,2.22,大津築堤
Tokachi,4.2,6.36,3.04,ウツナイ築堤,2.399,大津築堤
Tokachi,4.4,6.47,3.073,ウツナイ築堤,2.504,大津築堤
Tokachi,4.6,6.57,3.069,ウツナイ築堤,2.644,大津築堤
Tokachi,4.8,6.670000000000001,3.088,ウツナイ築堤,2.874,大津築堤
Tokachi,5.0,6.779999999999999,3.135,ウツナイ築堤,3.091,大津築堤
Tokachi,5.2,6.89,3.13,トイトッキ築堤,3.362,大津築堤
Tokachi,5.4,6.9799999999999995,3.114,トイトッキ築堤,3.698,大津築堤
Tokachi,5.6,7.09,3.596,トイトッキ築堤,4.126,大津築堤
Tokachi,5.8,7.24,3.945,トイトッキ築堤,4.435,大津築堤
Tokachi,6.0,7.390000000000001,4.227,トイトッキ築堤,4.649,大津築堤
Tokachi,6.2,7.590000000000001,4.488,トイトッキ築堤,,（無堤区間）
Tokachi,6.4,7.66,4.827,トイトッキ築堤,,（無堤区間）
Tokachi,6.6,7.73,5.056,トイトッキ築堤,,（無堤区間）
Tokachi,6.8,7.800000000000001,5.255,トイトッキ築堤,,（無堤区間）
Tokachi,7.0,7.860000000000001,5.433,トイトッキ築堤,,（無堤区間）
Tokachi,7.2,7.91,5.766,トイトッキ築堤,,（無堤区間）
Tokachi,7.4,7.960000000000001,6.006,トイトッキ築堤,6.312,旅来築堤
Tokachi,7.6,8.0,6.214,トイトッキ築堤,6.523,旅来築堤
Tokachi,7.8,8.05,6.41,トイトッキ築堤,6.759,旅来築堤
Tokachi,8.0,8.1,6.527,トイトッキ築堤,6.902,旅来築堤
Tokachi,8.2,8.15,7.232,トイトッキ築堤,7.065,旅来築堤
Tokachi,8.4,8.21,7.31,トイトッキ築堤,7.333,旅来築堤
Tokachi,8.6,8.25,7.361,トイトッキ築堤,7.18,旅来築堤
Tokachi,8.8,8.31,7.673,トイトッキ築堤,7.327,旅来築堤
Tokachi,9.0,8.360000000000001,7.7728,トイトッキ築堤,7.394,旅来築堤
Tokachi,9.2,8.41,7.728,トイトッキ築堤,7.809,旅来築堤
Tokachi,9.4,8.47,7.988,トイトッキ築堤,7.541,旅来築堤
Tokachi,9.6,8.52,8.219,トイトッキ築堤,7.712,旅来築堤
Tokachi,9.8,8.58,8.199,トイトッキ築堤,7.658,旅来築堤
Tokachi,10.0,8.64,8.151,トイトッキ築堤,7.956,旅来築堤
Tokachi,10.2,8.69,8.24,トイトッキ築堤,8.176,旅来築堤
Tokachi,10.4,8.74,8.844,トイトッキ築堤,8.28,旅来築堤
Tokachi,10.6,8.790000000000001,9.01,トイトッキ築堤,8.382,旅来築堤
Tokachi,10.8,8.83,8.296,トイトッキ築堤,8.375,旅来築堤
Tokachi,11.0,8.860000000000001,8.499,トイトッキ築堤,8.763,旅来築堤
Tokachi,11.2,8.89,8.354,トイトッキ築堤,8.729,旅来築堤
Tokachi,11.4,8.92,8.748,トイトッキ築堤,8.881,旅来築堤
Tokachi,11.6,8.96,9.725,トイトッキ築堤,8.903,旅来築堤
Tokachi,11.8,8.99,9.515,トイトッキ築堤,8.786,旅来築堤
Tokachi,12.0,9.02,9.772,トイトッキ築堤,8.859,旅来築堤
Tokachi,12.2,9.07,9.639,幌岡築堤,9.039,旅来築堤
Tokachi,12.4,9.120000000000001,10.259,幌岡築堤,9.085,旅来築堤
Tokachi,12.6,9.18,9.753,幌岡築堤,9.622,旅来築堤
Tokachi,12.8,9.280000000000001,9.774,幌岡築堤,9.711,旅来築堤
Tokachi,13.0,9.38,9.913,幌岡築堤,9.831,旅来築堤
Tokachi,13.2,9.48,10.211,幌岡築堤,9.897,旅来築堤
Tokachi,13.4,9.56,10.129,幌岡築堤,9.98,旅来築堤
Tokachi,13.6,9.63,10.142,幌岡築堤,9.953,旅来築堤
Tokachi,13.8,9.69,10.207,幌岡築堤,10.03,旅来築堤
Tokachi,14.0,9.74,10.38,幌岡築堤,10.08,旅来築堤
Tokachi,14.2,9.790000000000001,10.402,幌岡築堤,10.199,旅来築堤
Tokachi,14.4,9.83,10.398,幌岡築堤,10.197,旅来築堤
Tokachi,14.6,9.870000000000001,10.418,幌岡築堤,10.445,旅来築堤
Tokachi,14.8,9.9,11.067,幌岡築堤,10.244,旅来築堤
Tokachi,15.0,9.950000000000001,10.799,幌岡築堤,10.296,旅来築堤
Tokachi,15.2,10.0,10.87,幌岡築堤,10.284,旅来築堤
Tokachi,15.4,10.06,10.934,幌岡築堤,10.294,旅来築堤
Tokachi,15.6,10.13,11.267,幌岡築堤,10.393,旅来築堤
Tokachi,15.8,10.18,11.344,幌岡築堤,10.534,旅来築堤
Tokachi,16.0,10.23,11.093,幌岡築堤,10.563,旅来築堤
Tokachi,16.2,10.27,11.134,幌岡築堤,10.735,旅来築堤
Tokachi,16.4,10.35,11.291,幌岡築堤,10.421,旅来築堤
Tokachi,16.6,10.4,11.45,幌岡築堤,10.929,旅来築堤
Tokachi,16.8,10.47,11.132,幌岡築堤,,（無堤区間）
Tokachi,17.0,10.51,11.356,幌岡築堤,,（無堤区間）
Tokachi,17.2,10.55,11.444,幌岡築堤,,（無堤区間）
Tokachi,17.4,10.6,11.486,幌岡築堤,,（無堤区間）
Tokachi,17.6,10.65,11.582,幌岡築堤,,（無堤区間）
Tokachi,17.8,10.72,11.565,幌岡築堤,,（無堤区間）
Tokachi,18.0,10.790000000000001,11.626,幌岡築堤,11.289,茂岩築堤
Tokachi,18.2,10.85,11.66,幌岡築堤,11.548,茂岩築堤
Tokachi,18.4,10.9,11.729,幌岡築堤,11.667,茂岩築堤
Tokachi,18.6,10.950000000000001,11.876,幌岡築堤,11.729,茂岩築堤
Tokachi,18.8,11.01,11.851,幌岡築堤,11.784,茂岩築堤
Tokachi,19.0,11.06,11.661,幌岡築堤,11.857,茂岩築堤
Tokachi,19.2,11.13,11.934,幌岡築堤,11.953,茂岩築堤
Tokachi,19.4,11.18,12.115,幌岡築堤,11.97,茂岩築堤
Tokachi,19.6,11.23,12.145,幌岡築堤,12.086,茂岩築堤
Tokachi,19.8,11.280000000000001,11.893,幌岡築堤,12.101,茂岩築堤
Tokachi,20.0,11.34,12.226,幌岡築堤,12.176,茂岩築堤
Tokachi,20.2,11.39,11.973,幌岡築堤,12.19,茂岩築堤
Tokachi,20.4,11.450000000000001,12.037,幌岡築堤,12.332,茂岩築堤
Tokachi,20.6,11.51,12.247,幌岡築堤,12.456,茂岩築堤
Tokachi,20.8,11.57,12.185,幌岡築堤,12.589,茂岩築堤
Tokachi,21.0,11.610000000000001,12.225,育素多築堤,12.602,茂岩築堤
Tokachi,21.2,11.69,12.348,育素多築堤,12.661,茂岩築堤
Tokachi,21.4,11.77,12.428,育素多築堤,12.689,茂岩築堤
Tokachi,21.6,11.84,12.513,育素多築堤,12.848,茂岩築堤
Tokachi,21.8,11.91,12.603,育素多築堤,12.898,礼作別築堤
Tokachi,22.0,11.99,12.814,育素多築堤,12.984,礼作別築堤
Tokachi,22.2,12.06,12.924,育素多築堤,13.015,礼作別築堤
Tokachi,22.4,12.120000000000001,12.575,育素多築堤,13.024,礼作別築堤
Tokachi,22.6,12.19,12.895,育素多築堤,13.048,礼作別築堤
Tokachi,22.8,12.25,12.774,育素多築堤,13.092,礼作別築堤
Tokachi,23.0,12.32,12.844,育素多築堤,13.099,礼作別築堤
Tokachi,23.2,12.39,13.061,育素多築堤,13.121,礼作別築堤
Tokachi,23.4,12.46,13.101,育素多築堤,13.116,礼作別築堤
Tokachi,23.6,12.540000000000001,13.408,育素多築堤,12.989,礼作別築堤
Tokachi,23.8,12.6,13.348,育素多築堤,13.153,礼作別築堤
Tokachi,24.0,12.67,13.375,育素多築堤,13.192,礼作別築堤
Tokachi,24.2,12.74,13.595,育素多築堤,13.388,礼作別築堤
Tokachi,24.4,12.82,13.582,育素多築堤,13.294,礼作別築堤
Tokachi,24.6,12.870000000000001,13.672,育素多築堤,13.686,礼作別築堤
Tokachi,24.8,12.950000000000001,13.679,育素多築堤,13.869,礼作別築堤
Tokachi,25.0,13.01,13.769,育素多築堤,14.084,礼作別築堤
Tokachi,25.2,13.08,13.882,育素多築堤,14.044,礼作別築堤
Tokachi,25.4,13.15,13.762,育素多築堤,14.089,礼作別築堤
Tokachi,25.6,13.22,13.989,育素多築堤,14.155,礼作別築堤
Tokachi,25.8,13.290000000000001,13.839,育素多築堤,14.163,礼作別築堤
Tokachi,26.0,13.360000000000001,13.63,育素多築堤,14.072,礼作別築堤
Tokachi,26.2,13.43,14.1,育素多築堤,14.043,礼作別築堤
Tokachi,26.4,13.5,13.86,育素多築堤,13.929,礼作別築堤
Tokachi,26.6,13.57,13.73,育素多築堤,14.121,礼作別築堤
Tokachi,26.8,13.63,13.982,育素多築堤,14.131,礼作別築堤
Tokachi,27.0,13.700000000000001,14.003,育素多築堤,14.208,礼作別築堤
Tokachi,27.2,13.76,14.253,育素多築堤,14.304,礼作別築堤
Tokachi,27.4,13.83,14.432,育素多築堤,14.654,礼作別築堤
Tokachi,27.6,13.9,14.335,育素多築堤,14.767,礼作別築堤
Tokachi,27.8,13.97,14.365,育素多築堤,14.763,礼作別築堤
Tokachi,28.0,14.040000000000001,14.937,育素多築堤,14.723,礼作別築堤
Tokachi,28.2,14.120000000000001,14.878,育素多築堤,14.383,礼作別築堤
Tokachi,28.4,14.19,15.024,育素多築堤,14.436,礼作別築堤
Tokachi,28.6,14.25,15.093,育素多築堤,14.752,統内築堤
Tokachi,28.8,14.32,15.168,育素多築堤,15.032,統内築堤
Tokachi,29.0,14.4,15.238,育素多築堤,15.012,統内築堤
Tokachi,29.2,14.46,15.307,育素多築堤,14.992,統内築堤
Tokachi,29.4,14.530000000000001,15.375,育素多築堤,14.888,統内築堤
Tokachi,29.6,14.610000000000001,15.255,千代田築堤,15.238,統内築堤
Tokachi,29.8,14.66,15.84,千代田築堤,14.983,統内築堤
Tokachi,30.0,14.74,16.13,千代田築堤,15.023,統内築堤
Tokachi,30.2,14.81,16.048,千代田築堤,15.273,統内築堤
Tokachi,30.4,14.870000000000001,16.357,千代田築堤,15.403,統内築堤
Tokachi,30.6,14.94,16.635,千代田築堤,15.554,統内築堤
Tokachi,30.8,15.01,15.881,千代田築堤,15.842,統内築堤
Tokachi,31.0,15.06,15.725,千代田築堤,15.822,統内築堤
Tokachi,31.2,15.13,15.911,千代田築堤,15.812,統内築堤
Tokachi,31.4,15.21,15.853,千代田築堤,15.95,統内築堤
Tokachi,31.6,15.280000000000001,15.956,千代田築堤,16.03,統内築堤
Tokachi,31.8,15.35,16.043,千代田築堤,16.0,統内築堤
Tokachi,32.0,15.42,16.055,千代田築堤,16.274,統内築堤
Tokachi,32.2,15.5,16.11,千代田築堤,16.254,統内築堤
Tokachi,32.4,15.55,16.163,千代田築堤,16.384,統内築堤
Tokachi,32.6,15.620000000000001,16.34,千代田築堤,16.494,統内築堤
Tokachi,32.8,15.69,16.497,千代田築堤,16.639,統内築堤
Tokachi,33.0,15.750000000000002,16.18,千代田築堤,16.659,統内築堤
Tokachi,33.2,15.83,16.22,千代田築堤,16.668,統内築堤
Tokachi,33.4,15.889999999999999,16.39,千代田築堤,16.598,統内築堤
Tokachi,33.6,15.959999999999999,16.675,千代田築堤,16.868,統内築堤
Tokachi,33.8,16.02,16.837,千代田築堤,16.89,統内築堤
Tokachi,34.0,16.09,16.882,千代田築堤,16.86,統内築堤
Tokachi,34.2,16.18,16.963,千代田築堤,17.02,統内築堤
Tokachi,34.4,16.27,16.887,千代田築堤,17.042,統内築堤
Tokachi,34.6,16.349999999999998,17.054,千代田築堤,16.932,統内築堤
Tokachi,34.8,16.439999999999998,17.173,千代田築堤,17.112,統内築堤
Tokachi,35.0,16.54,17.33,千代田築堤,17.325,統内築堤
Tokachi,35.2,16.619999999999997,17.657,千代田築堤,17.375,統内築堤
Tokachi,35.4,16.709999999999997,17.693,千代田築堤,17.805,統内築堤
Tokachi,35.6,16.81,17.603,千代田築堤,17.698,統内築堤
Tokachi,35.8,16.9,17.631,千代田築堤,17.783,統内築堤
Tokachi,36.0,17.0,17.825,千代田築堤,17.675,統内築堤
Tokachi,36.2,17.1,18.088,千代田築堤,17.803,統内築堤
Tokachi,36.4,17.2,18.018,千代田築堤,18.119,統内築堤
Tokachi,36.6,17.29,18.348,千代田築堤,18.334,統内築堤
Tokachi,36.8,17.39,18.72,千代田築堤,18.552,統内築堤
Tokachi,37.0,17.48,18.896,千代田築堤,18.676,統内築堤
Tokachi,37.2,17.57,18.969,千代田築堤,19.024,統内築堤
Tokachi,37.4,17.68,19.044,千代田築堤,19.529,統内築堤
Tokachi,37.6,17.78,18.869,千代田築堤,20.536,統内築堤
Tokachi,37.8,17.87,19.169,千代田築堤,20.027,統内築堤
Tokachi,38.0,17.97,19.175,千代田築堤,19.596,統内築堤
Tokachi,38.2,18.1,19.189,千代田築堤,19.51,統内築堤
Tokachi,38.4,18.26,19.773,千代田築堤,19.624,猿別川合流堤外地内
Tokachi,38.6,18.46,19.75,千代田築堤,19.382,猿別川合流堤外地内
Tokachi,38.8,18.51,19.874,千代田築堤,19.977,相川築堤
Tokachi,39.0,18.63,19.855,千代田築堤,19.949,相川築堤
Tokachi,39.2,18.74,20.125,千代田築堤,19.927,相川築堤
Tokachi,39.4,18.830000000000002,20.037,千代田築堤,20.092,相川築堤
Tokachi,39.6,18.9,19.77,千代田築堤,20.082,相川築堤
Tokachi,39.8,19.01,19.941,千代田築堤,19.987,相川築堤
Tokachi,40.0,19.1,20.726,千代田築堤,19.981,相川築堤
Tokachi,40.2,19.21,19.713,千代田築堤,20.229,相川築堤
Tokachi,40.4,19.32,20.032,千代田築堤,20.018,相川築堤
Tokachi,40.6,19.41,20.35,（無堤区間）,20.153,相川築堤
Tokachi,40.8,19.55,,（無堤区間）,20.26,相川築堤
Tokachi,41.0,19.680000000000003,,（無堤区間）,20.113,相川築堤
Tokachi,41.2,19.82,,（無堤区間）,20.575,相川築堤
Tokachi,41.4,19.96,,（無堤区間）,20.637,相川築堤
Tokachi,41.6,20.14,,（無堤区間）,20.55,相川築堤
Tokachi,41.8,20.330000000000002,,（無堤区間）,20.625,相川築堤
Tokachi,42.0,20.5,,（無堤区間）,20.732,相川築堤
Tokachi,42.2,20.67,,（無堤区間）,20.856,相川築堤
Tokachi,42.4,20.85,,（無堤区間）,20.981,相川築堤
Tokachi,42.6,21.0,,（無堤区間）,21.153,相川築堤
Tokachi,42.8,21.14,,（無堤区間）,21.293,相川築堤
Tokachi,43.0,21.28,,（無堤区間）,21.412,相川築堤
Tokachi,43.2,21.450000000000003,,（無堤区間）,21.611,相川築堤
Tokachi,43.4,21.590000000000003,,（無堤区間）,21.897,相川築堤
Tokachi,43.6,21.880000000000003,,（無堤区間）,21.965,相川築堤
Tokachi,43.8,22.060000000000002,,（無堤区間）,22.143,相川築堤
Tokachi,44.0,22.35,,（無堤区間）,21.819,相川築堤
Tokachi,44.2,22.56,,（無堤区間）,22.235,相川築堤
Tokachi,44.4,22.79,,（無堤区間）,22.588,相川築堤
Tokachi,44.6,22.95,,（無堤区間）,22.806,相川築堤
Tokachi,44.8,23.2,,（無堤区間）,23.019,相川築堤
Tokachi,45.0,23.49,,（無堤区間）,23.088,相川築堤
Tokachi,45.2,23.69,,（無堤区間）,23.76,相川築堤
Tokachi,45.4,23.95,,（無堤区間）,24.328,相川築堤
Tokachi,45.6,24.2,,（無堤区間）,24.857,相川築堤
Tokachi,45.8,24.419999999999998,,（無堤区間）,25.142,相川築堤
Tokachi,46.0,24.64,,（無堤区間）,25.442,相川築堤
Tokachi,46.2,24.94,,（無堤区間）,25.742,相川築堤
Tokachi,46.4,25.16,,（無堤区間）,25.872,相川築堤
Tokachi,46.6,25.39,,（無堤区間）,26.127,相川築堤
Tokachi,46.8,25.62,,（無堤区間）,25.813,相川築堤
Tokachi,47.0,25.9,,（無堤区間）,26.022,相川築堤
Tokachi,47.2,26.14,,（無堤区間）,26.888,札内築堤
Tokachi,47.4,26.37,,（無堤区間）,26.972,札内築堤
Tokachi,47.6,26.669999999999998,,（無堤区間）,27.271,札内築堤
Tokachi,47.8,27.0,,（無堤区間）,27.507,札内築堤
Tokachi,48.0,27.21,27.858,（無堤区間）,27.541,札内築堤
Tokachi,48.2,27.48,28.001,（無堤区間）,27.578,札内築堤
Tokachi,48.4,27.71,27.747,（無堤区間）,28.298,札内築堤
Tokachi,48.6,27.94,28.096,（無堤区間）,28.486,札内築堤
Tokachi,48.8,28.080000000000002,27.917,（無堤区間）,28.561,札内築堤
Tokachi,49.0,28.25,27.783,（無堤区間）,28.659,札内築堤
Tokachi,49.2,28.53,28.345,（無堤区間）,28.848,札内築堤
Tokachi,49.4,28.740000000000002,28.544,（無堤区間）,29.088,札内築堤
Tokachi,49.6,28.990000000000002,29.386,（無堤区間）,29.389,札内築堤
Tokachi,49.8,29.150000000000002,29.586,下士幌築堤,29.62,札内築堤
Tokachi,50.0,29.43,29.902,下士幌築堤,30.068,札内築堤
Tokachi,50.2,29.700000000000003,30.032,下士幌築堤,30.114,札内築堤
Tokachi,50.4,29.970000000000002,,（無堤区間）,30.393,札内築堤
