datetime_jst,ryutan_joryu,satsunai_dam_chokka,minami_satsunai,kami_satsunai,daini_okawabashi,nantaibashi,satsunai
2016-08-01T01:00,495.58,398.34,342.63,248.13,100.67,74.38,32.52
2016-08-01T02:00,495.57,398.34,342.63,248.13,100.67,74.37,32.52
2016-08-01T03:00,495.57,398.34,342.63,248.12,100.67,74.37,32.51
2016-08-01T04:00,495.57,398.34,342.63,248.12,100.66,74.37,32.51
2016-08-01T05:00,495.57,398.34,342.62,248.12,100.66,74.37,32.51
2016-08-01T06:00,495.57,398.34,342.62,248.12,100.66,74.37,32.51
2016-08-01T07:00,495.56,398.34,342.62,248.12,100.66,74.37,32.51
2016-08-01T08:00,495.57,398.34,342.62,248.11,100.66,74.37,32.51
2016-08-01T09:00,495.57,398.34,342.62,248.11,100.66,74.36,32.51
2016-08-01T10:00,495.58,398.35,342.62,248.11,100.66,74.36,32.5
2016-08-01T11:00,495.59,398.35,342.64,248.12,100.66,74.36,32.5
2016-08-01T12:00,495.79,398.36,342.65,248.14,100.66,74.36,32.5
2016-08-01T13:00,496.02,398.36,342.69,248.18,100.66,74.37,32.51
2016-08-01T14:00,496.19,398.38,342.78,248.25,100.66,74.37,32.52
2016-08-01T15:00,496.15,398.39,342.96,248.33,100.68,74.38,32.53
2016-08-01T16:00,496.12,398.41,343.01,248.44,100.69,74.39,32.54
2016-08-01T17:00,496.04,398.43,342.94,248.54,100.77,74.41,32.55
2016-08-01T18:00,495.97,398.43,342.9,248.53,100.89,74.53,32.55
2016-08-01T19:00,495.92,398.44,342.89,248.5,100.92,74.64,32.58
2016-08-01T20:00,495.88,398.45,342.88,248.48,100.95,74.66,32.75
2016-08-01T21:00,495.86,398.45,342.87,248.46,100.96,74.68,32.89
2016-08-01T22:00,495.84,398.46,342.86,248.45,100.94,74.69,32.95
2016-08-01T23:00,495.83,398.46,342.86,248.46,100.93,74.67,33.0
2016-08-02T00:00,495.81,398.47,342.86,248.45,100.91,74.66,33.01
2016-08-02T01:00,495.79,398.47,342.86,248.44,100.89,74.63,32.98
2016-08-02T02:00,495.78,398.47,342.86,248.44,100.88,74.63,32.96
2016-08-02T03:00,495.77,398.47,342.85,248.43,100.87,74.62,32.94
2016-08-02T04:00,495.76,398.47,342.85,248.42,100.87,74.61,32.92
2016-08-02T05:00,495.75,398.47,342.85,248.42,100.86,74.6,32.9
2016-08-02T06:00,495.75,398.47,342.85,248.42,100.85,74.6,32.89
2016-08-02T07:00,495.74,398.47,342.85,248.42,100.85,74.59,32.87
2016-08-02T08:00,495.73,398.47,342.85,248.42,100.85,74.58,32.86
2016-08-02T09:00,495.73,398.47,342.84,248.42,100.84,74.58,32.86
2016-08-02T10:00,495.72,398.47,342.84,248.42,100.84,74.58,32.85
2016-08-02T11:00,495.72,398.47,342.84,248.41,100.84,74.58,32.84
2016-08-02T12:00,495.71,398.47,342.83,248.4,100.83,74.56,32.84
2016-08-02T13:00,495.7,398.47,342.83,248.4,100.83,74.57,32.84
2016-08-02T14:00,495.7,398.47,342.83,248.39,100.83,74.58,32.83
2016-08-02T15:00,495.69,398.47,342.83,248.4,100.82,74.59,32.82
2016-08-02T16:00,495.69,398.47,342.83,248.39,100.82,74.59,32.82
2016-08-02T17:00,495.68,398.47,342.82,248.39,100.82,74.58,32.82
2016-08-02T18:00,495.68,398.46,342.82,248.38,100.81,74.58,32.81
2016-08-02T19:00,495.71,398.46,342.82,248.38,100.81,74.57,32.81
2016-08-02T20:00,495.69,398.46,342.82,248.38,100.81,74.57,32.81
2016-08-02T21:00,495.68,398.46,342.81,248.37,100.81,74.57,32.81
2016-08-02T22:00,495.67,398.46,342.81,248.38,100.81,74.57,32.8
2016-08-02T23:00,495.67,398.46,342.81,248.37,100.81,74.56,32.8
2016-08-03T00:00,495.66,398.46,342.81,248.37,100.81,74.56,32.8
2016-08-03T01:00,495.66,398.45,342.8,248.37,100.81,74.57,32.8
2016-08-03T02:00,495.65,398.45,342.8,248.36,100.81,74.56,32.8
2016-08-03T03:00,495.65,398.45,342.8,248.36,100.8,74.56,32.8
2016-08-03T04:00,495.65,398.45,342.79,248.36,100.8,74.56,32.8
2016-08-03T05:00,495.64,398.45,342.79,248.35,100.8,74.56,32.8
2016-08-03T06:00,495.64,398.44,342.79,248.35,100.79,74.55,32.79
2016-08-03T07:00,495.63,398.44,342.79,248.35,100.79,74.54,32.78
2016-08-03T08:00,495.63,398.44,342.78,248.35,100.79,74.54,32.78
2016-08-03T09:00,495.63,398.44,342.78,248.35,100.79,74.53,32.77
2016-08-03T10:00,495.63,398.44,342.78,248.34,100.79,74.53,32.77
2016-08-03T11:00,495.62,398.43,342.77,248.34,100.79,74.53,32.77
2016-08-03T12:00,495.62,398.43,342.77,248.33,100.78,74.52,32.76
2016-08-03T13:00,495.62,398.43,342.77,248.33,100.78,74.52,32.76
2016-08-03T14:00,495.61,398.43,342.77,248.32,100.78,74.52,32.75
2016-08-03T15:00,495.61,398.42,342.76,248.32,100.77,74.52,32.75
2016-08-03T16:00,495.61,398.42,342.76,248.31,100.77,74.51,32.74
2016-08-03T17:00,495.6,398.42,342.76,248.31,100.77,74.5,32.74
2016-08-03T18:00,495.6,398.42,342.76,248.31,100.77,74.51,32.73
2016-08-03T19:00,495.6,398.42,342.75,248.31,100.76,74.5,32.73
2016-08-03T20:00,495.6,398.42,342.75,248.31,100.76,74.5,32.72
2016-08-03T21:00,495.59,398.41,342.75,248.3,100.76,74.5,32.71
2016-08-03T22:00,495.59,398.41,342.74,248.29,100.76,74.49,32.71
2016-08-03T23:00,495.59,398.41,342.74,248.29,100.76,74.49,32.7
2016-08-04T00:00,495.59,398.41,342.74,248.28,100.76,74.48,32.7
2016-08-04T01:00,495.58,398.41,342.74,248.28,100.75,74.48,32.7
2016-08-04T02:00,495.58,398.4,342.73,248.28,100.75,74.49,32.69
2016-08-04T03:00,495.58,398.4,342.73,248.27,100.75,74.48,32.69
2016-08-04T04:00,495.58,398.4,342.73,248.26,100.75,74.48,32.69
2016-08-04T05:00,495.57,398.4,342.73,248.26,100.74,74.48,32.69
2016-08-04T06:00,495.57,398.4,342.72,248.26,100.74,74.48,32.68
2016-08-04T07:00,495.57,398.39,342.72,248.26,100.74,74.48,32.68
2016-08-04T08:00,495.57,398.39,342.72,248.25,100.74,74.48,32.68
2016-08-04T09:00,495.57,398.39,342.72,248.25,100.74,74.47,32.67
2016-08-04T10:00,495.56,398.39,342.7,248.24,100.73,74.47,32.67
2016-08-04T11:00,495.56,398.39,342.7,248.24,100.73,74.47,32.67
2016-08-04T12:00,495.56,398.38,342.69,248.22,100.73,74.46,32.66
2016-08-04T13:00,495.56,398.38,342.69,248.21,100.73,74.46,32.66
2016-08-04T14:00,495.56,398.38,342.69,248.21,100.72,74.46,32.65
2016-08-04T15:00,495.55,398.38,342.69,248.2,100.72,74.46,32.65
2016-08-04T16:00,495.55,398.38,342.69,248.2,100.72,74.45,32.64
2016-08-04T17:00,495.55,398.37,342.68,248.19,100.71,74.44,32.64
2016-08-04T18:00,495.55,398.37,342.68,248.2,100.71,74.43,32.62
2016-08-04T19:00,495.55,398.37,342.68,248.19,100.71,74.43,32.62
2016-08-04T20:00,495.54,398.37,342.67,248.18,100.71,74.43,32.62
2016-08-04T21:00,495.54,398.37,342.67,248.18,100.7,74.43,32.61
2016-08-04T22:00,495.54,398.37,342.67,248.17,100.7,74.42,32.61
2016-08-04T23:00,495.54,398.37,342.67,248.17,100.7,74.42,32.61
2016-08-05T00:00,495.54,398.36,342.67,248.17,100.7,74.42,32.6
2016-08-05T01:00,495.54,398.36,342.67,248.16,100.7,74.42,32.6
2016-08-05T02:00,495.53,398.36,342.66,248.16,100.7,74.42,32.6
2016-08-05T03:00,495.53,398.36,342.66,248.15,100.7,74.41,32.59
2016-08-05T04:00,495.53,398.36,342.66,248.15,100.69,74.41,32.59
2016-08-05T05:00,495.53,398.36,342.66,248.15,100.69,74.41,32.59
2016-08-05T06:00,495.53,398.36,342.66,248.14,100.69,74.41,32.59
2016-08-05T07:00,495.53,398.35,342.66,248.14,100.69,74.41,32.58
2016-08-05T08:00,495.52,398.35,342.65,248.14,100.69,74.41,32.58
2016-08-05T09:00,495.52,398.35,342.65,248.14,100.69,74.4,32.58
2016-08-05T10:00,495.52,398.35,342.65,248.13,100.69,74.4,32.58
2016-08-05T11:00,495.52,398.35,342.65,248.13,100.68,74.4,32.57
2016-08-05T12:00,495.52,398.35,342.65,248.12,100.68,74.4,32.57
2016-08-05T13:00,495.52,398.35,342.65,248.12,100.68,74.4,32.57
2016-08-05T14:00,495.52,398.35,342.65,248.11,100.68,74.39,32.56
2016-08-05T15:00,495.52,398.35,342.64,248.11,100.67,74.39,32.56
2016-08-05T16:00,495.51,398.35,342.64,248.11,100.67,74.38,32.55
2016-08-05T17:00,495.51,398.35,342.64,248.11,100.67,74.38,32.55
2016-08-05T18:00,495.51,398.34,342.64,248.11,100.67,74.38,32.54
2016-08-05T19:00,495.51,398.34,342.64,248.11,100.66,74.38,32.54
2016-08-05T20:00,495.51,398.35,342.64,248.11,100.66,74.38,32.53
2016-08-05T21:00,495.51,398.34,342.64,248.11,100.66,74.37,32.53
2016-08-05T22:00,495.5,398.34,342.64,248.11,100.66,74.38,32.53
2016-08-05T23:00,495.5,398.34,342.64,248.1,100.66,74.37,32.53
2016-08-06T00:00,495.5,398.35,342.64,248.1,100.66,74.37,32.52
2016-08-06T01:00,495.5,398.35,342.64,248.1,100.66,74.37,32.52
2016-08-06T02:00,495.5,398.35,342.64,248.09,100.66,74.37,32.52
2016-08-06T03:00,495.5,398.35,342.64,248.1,100.66,74.37,32.52
2016-08-06T04:00,495.49,398.35,342.64,248.1,100.66,74.37,32.52
2016-08-06T05:00,495.49,398.35,342.64,248.1,100.66,74.37,32.52
2016-08-06T06:00,495.49,398.35,342.64,248.09,100.66,74.36,32.52
2016-08-06T07:00,495.49,398.35,342.64,248.09,100.66,74.36,32.52
2016-08-06T08:00,495.49,398.35,342.64,248.09,100.65,74.35,32.51
2016-08-06T09:00,495.49,398.35,342.64,248.1,100.65,74.36,32.51
2016-08-06T10:00,495.49,398.35,342.64,248.09,100.65,74.35,32.51
2016-08-06T11:00,495.49,398.34,342.64,248.09,100.65,74.35,32.51
2016-08-06T12:00,495.49,398.35,342.64,248.09,100.65,74.35,32.51
2016-08-06T13:00,495.49,398.35,342.64,248.09,100.65,74.35,32.51
2016-08-06T14:00,495.48,398.35,342.64,248.08,100.65,74.35,32.51
2016-08-06T15:00,495.48,398.34,342.64,248.08,100.64,74.34,32.5
2016-08-06T16:00,495.48,398.34,342.64,248.08,100.64,74.34,32.5
2016-08-06T17:00,495.48,398.34,342.64,248.08,100.64,74.34,32.5
2016-08-06T18:00,495.48,398.34,342.64,248.09,100.64,74.34,32.49
2016-08-06T19:00,495.48,398.34,342.64,248.09,100.64,74.33,32.49
2016-08-06T20:00,495.48,398.34,342.64,248.09,100.64,74.33,32.49
2016-08-06T21:00,495.48,398.34,342.63,248.08,100.64,74.33,32.49
2016-08-06T22:00,495.48,398.35,342.63,248.09,100.64,74.33,32.48
2016-08-06T23:00,495.48,398.35,342.64,248.08,100.64,74.33,32.48
2016-08-07T00:00,495.48,398.34,342.64,248.08,100.64,74.33,32.48
2016-08-07T01:00,495.48,398.35,342.64,248.08,100.64,74.33,32.48
2016-08-07T02:00,495.47,398.35,342.64,248.08,100.64,74.33,32.48
2016-08-07T03:00,495.47,398.35,342.64,248.08,100.64,74.33,32.48
2016-08-07T04:00,495.47,398.35,342.63,248.08,100.64,74.33,32.48
2016-08-07T05:00,495.47,398.35,342.64,248.08,100.64,74.33,32.48
2016-08-07T06:00,495.47,398.35,342.64,248.08,100.64,74.33,32.48
2016-08-07T07:00,495.47,398.34,342.63,248.08,100.64,74.33,32.48
2016-08-07T08:00,495.47,398.35,342.63,248.08,100.63,74.33,32.48
2016-08-07T09:00,495.47,398.35,342.63,248.08,100.63,74.33,32.48
2016-08-07T10:00,495.47,398.35,342.63,248.07,100.63,74.33,32.48
2016-08-07T11:00,495.47,398.35,342.64,248.08,100.63,74.33,32.48
2016-08-07T12:00,495.47,398.35,342.64,248.08,100.63,74.33,32.48
2016-08-07T13:00,495.46,398.35,342.64,248.08,100.63,74.32,32.48
2016-08-07T14:00,495.46,398.35,342.64,248.08,100.63,74.33,32.47
2016-08-07T15:00,495.46,398.35,342.64,248.08,100.63,74.32,32.47
2016-08-07T16:00,495.46,398.35,342.64,248.08,100.63,74.32,32.47
2016-08-07T17:00,495.46,398.35,342.64,248.08,100.63,74.31,32.47
2016-08-07T18:00,495.46,398.35,342.64,248.09,100.63,74.31,32.46
2016-08-07T19:00,495.46,398.35,342.64,248.09,100.63,74.31,32.46
2016-08-07T20:00,495.46,398.35,342.63,248.08,100.62,74.31,32.46
2016-08-07T21:00,495.46,398.35,342.63,248.08,100.62,74.3,32.46
2016-08-07T22:00,495.46,398.35,342.63,248.08,100.63,74.31,32.46
2016-08-07T23:00,495.46,398.35,342.64,248.08,100.62,74.31,32.46
2016-08-08T00:00,495.46,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T01:00,495.46,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T02:00,495.46,398.35,342.64,248.08,100.62,74.3,32.45
2016-08-08T03:00,495.45,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T04:00,495.45,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T05:00,495.45,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T06:00,495.45,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T07:00,495.45,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T08:00,495.45,398.35,342.64,248.08,100.62,74.31,32.46
2016-08-08T09:00,495.45,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T10:00,495.45,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T11:00,495.45,398.35,342.64,248.08,100.62,74.31,32.45
2016-08-08T12:00,495.45,398.35,342.64,248.08,100.62,74.3,32.45
2016-08-08T13:00,495.44,398.35,342.64,248.08,100.62,74.3,32.45
2016-08-08T14:00,495.44,398.35,342.64,248.08,100.62,74.3,32.45
2016-08-08T15:00,495.44,398.35,342.64,248.08,100.62,74.3,32.45
2016-08-08T16:00,495.44,398.35,342.64,248.08,100.62,74.3,32.45
2016-08-08T17:00,495.44,398.35,342.64,248.08,100.62,74.29,32.45
2016-08-08T18:00,495.44,398.35,342.64,248.08,100.62,74.29,32.45
2016-08-08T19:00,495.44,398.35,342.64,248.08,100.62,74.29,32.44
2016-08-08T20:00,495.44,398.35,342.64,248.08,100.62,74.29,32.44
2016-08-08T21:00,495.44,398.35,342.64,248.08,100.62,74.29,32.44
2016-08-08T22:00,495.44,398.35,342.64,248.08,100.62,74.29,32.44
2016-08-08T23:00,495.44,398.35,342.64,248.09,100.61,74.29,32.44
2016-08-09T00:00,495.44,398.35,342.64,248.1,100.62,74.29,32.44
2016-08-09T01:00,495.44,398.35,342.64,248.09,100.63,74.3,32.44
2016-08-09T02:00,495.44,398.35,342.64,248.09,100.63,74.3,32.45
2016-08-09T03:00,495.46,398.35,342.64,248.09,100.63,74.31,32.45
2016-08-09T04:00,495.47,398.35,342.64,248.08,100.62,74.31,32.46
2016-08-09T05:00,495.46,398.35,342.64,248.08,100.62,74.3,32.47
2016-08-09T06:00,495.45,398.35,342.64,248.08,100.62,74.3,32.46
2016-08-09T07:00,495.45,398.35,342.64,248.09,100.62,74.3,32.46
2016-08-09T08:00,495.45,398.35,342.65,248.1,100.62,74.3,32.46
2016-08-09T09:00,495.46,398.35,342.66,248.12,100.63,74.31,32.47
2016-08-09T10:00,495.49,398.36,342.67,248.16,100.64,74.32,32.48
2016-08-09T11:00,495.52,398.36,342.71,248.19,100.64,74.33,32.5
2016-08-09T12:00,495.55,398.36,342.73,248.23,100.65,74.34,32.5
2016-08-09T13:00,495.58,398.36,342.72,248.28,100.67,74.34,32.51
2016-08-09T14:00,495.57,398.36,342.71,248.3,100.69,74.36,32.51
2016-08-09T15:00,495.56,398.2,342.7,248.28,100.72,74.4,32.52
2016-08-09T16:00,495.56,398.2,342.58,248.26,100.75,74.43,32.53
2016-08-09T17:00,495.53,398.2,342.53,248.23,100.76,74.46,32.57
2016-08-09T18:00,495.51,398.35,342.51,248.09,100.76,74.47,32.62
2016-08-09T19:00,495.5,398.35,342.65,247.99,100.75,74.47,32.67
2016-08-09T20:00,495.49,398.35,342.65,247.95,100.74,74.46,32.68
2016-08-09T21:00,495.48,398.35,342.65,248.11,100.72,74.45,32.68
2016-08-09T22:00,495.47,398.35,342.65,248.13,100.7,74.43,32.67
2016-08-09T23:00,495.47,398.35,342.65,248.13,100.68,74.4,32.65
2016-08-10T00:00,495.46,398.35,342.65,248.13,100.66,74.38,32.62
2016-08-10T01:00,495.46,398.35,342.65,248.14,100.66,74.37,32.59
2016-08-10T02:00,495.46,398.35,342.65,248.13,100.66,74.37,32.56
2016-08-10T03:00,495.45,398.35,342.65,248.13,100.66,74.36,32.55
2016-08-10T04:00,495.45,398.35,342.65,248.13,100.66,74.36,32.54
2016-08-10T05:00,495.45,398.35,342.65,248.12,100.66,74.36,32.54
2016-08-10T06:00,495.45,398.35,342.65,248.12,100.65,74.36,32.53
2016-08-10T07:00,495.44,398.35,342.64,248.12,100.65,74.35,32.53
2016-08-10T08:00,495.44,398.35,342.64,248.12,100.65,74.35,32.53
2016-08-10T09:00,495.44,398.35,342.64,248.12,100.65,74.35,32.52
2016-08-10T10:00,495.44,398.35,342.64,248.12,100.64,74.34,32.51
2016-08-10T11:00,495.44,398.35,342.64,248.13,100.64,74.34,32.51
2016-08-10T12:00,495.44,398.35,342.64,248.12,100.64,74.34,32.51
2016-08-10T13:00,495.44,398.35,342.64,248.12,100.64,74.33,32.5
2016-08-10T14:00,495.43,398.35,342.64,248.12,100.64,74.33,32.5
2016-08-10T15:00,495.43,398.35,342.64,248.12,100.63,74.33,32.49
2016-08-10T16:00,495.43,398.35,342.64,248.11,100.63,74.33,32.49
2016-08-10T17:00,495.43,398.35,342.64,248.11,100.63,74.32,32.49
2016-08-10T18:00,495.43,398.35,342.64,248.12,100.63,74.32,32.48
2016-08-10T19:00,495.43,398.35,342.64,248.11,100.63,74.32,32.48
2016-08-10T20:00,495.43,398.35,342.64,248.11,100.63,74.32,32.48
2016-08-10T21:00,495.43,398.35,342.64,248.11,100.63,74.32,32.47
2016-08-10T22:00,495.43,398.35,342.64,248.11,100.63,74.32,32.47
2016-08-10T23:00,495.43,398.35,342.64,248.11,100.63,74.32,32.47
2016-08-11T00:00,495.43,398.35,342.64,248.11,100.62,74.32,32.47
