river,bank,name_ja,kp_km
Tokachi,right,西帯広築堤,63.8
Tokachi,left,西士狩築堤,65.8
Tokachi,right,ピウカ築堤,69.4
Tokachi,right,芽室築堤,74.6
Tokachi,right,中島築堤,76.6
Tokachi,right,御影築堤,80.4
Tokachi,left,芽室太築堤,80.6
Tokachi,right,熊牛築堤,85.0
Tokachi,left,人舞築堤,88.4
Tokachi,right,熊牛築堤,89.0
Tokachi,left,屈足築堤,96.0
Tokachi,right,ニトマップ築堤,96.4
Tokachi,left,屈足築堤,99.4
Satsunai,right,愛国築堤,7.0
Satsunai,left,愛国築堤,9.2
Satsunai,right,愛国築堤,14.6
Satsunai,right,富士築堤,19.8
Satsunai,left,戸蔦築堤,24.2
Satsunai,right,中戸蔦築堤,28.0
Satsunai,right,大正築堤,29.6
Satsunai,left,中札内築堤,32.0
Satsunai,left,中札内築堤,34.2
Satsunai,right,西新札内築堤,37.8
Satsunai,left,西札内築堤,40.8
Satsunai,left,常盤築堤,43.0
Satsunai,right,南新札内築堤,43.0
Otofuke,right,南音更築堤,5.2
Otofuke,left,東音更築堤,6.2
Otofuke,right,駒場築堤,12.8
Otofuke,left,北駒場築堤,16.0
Otofuke,right,東音更築堤,17.2
Otofuke,left,中士幌築堤,21.4
Otofuke,right,中音更築堤,25.8
Otofuke,left,音更築堤,28.4
