kp,borehole,test_no,depth_top_m,depth_bot_m,layer,unit,jgs_class,rho_s_gcm3,wn_pct,gravel_pct,sand_pct,silt_pct,clay_pct,dmax_mm,d60_mm,d50_mm,d30_mm,d20_mm,d10_mm,uc,ucc,k_est_cms,k_lab_cms,source_table,thesis_label,note
57.4,B-2,57.4,0.00,0.50,Bc,fill,Sfg,2.692,14.3,30.4,51.3,13.0,5.3,53.0,0.635,0.365,0.164,0.0892,0.019,33.4,2.23,1.40E-03,,4-3-1,B-2-1,d10 printed 0.0019 in Table 4-3-1 and 0.019 on sheet 4; 0.019 reproduces Uc 33.4; depth 0.50 to 1.00 on sheet 4 and the B-2 log
57.4,B-2,B2-1,1.70,4.00,Bc,fill,GF,2.721,15.4,38.0,30.0,22.8,9.2,37.5,1.47,0.357,0.0612,0.0234,0.0057,258,0.45,5.00E-05,2.69E-03,4-3-1,B-2-2,
57.4,B-1,D1-1,1.15,1.45,Bc,fill,SFg,2.566,34.7,3.4,47.4,32.2,17.0,19.00,0.11,0.0073,0.0224,0.0076,0.0013,84.6,3.51,6.10E-06,,4-3-1,,d50 printed 0.0073 (below d30); likely 0.073
57.4,B-1,D1-2,2.15,2.50,Bc,fill,SF,2.609,33.6,0.4,50.6,37.8,11.2,4.75,0.112,0.078,0.0307,0.0144,0.0038,29.5,2.21,1.80E-05,,4-3-1,,
57.4,B-2,D2-1,1.15,1.45,Bc,fill,GW,2.583,5.8,72.4,23.4,2.8,1.4,26.50,15.3,11.2,2.44,0.86,0.268,57.1,1.45,2.50E-01,,4-3-1,,
57.4,B-2,D2-2,2.15,2.45,Bc,fill,SFg,2.603,16.8,33.2,34.1,22.9,9.8,19.00,0.396,0.213,0.0612,0.0233,0.0052,76.2,1.82,5.50E-05,,4-3-1,,
58.8,B-4,58.8,0.00,0.50,Bs,fill,Sfg,2.645,16.3,24.0,49.7,18.1,8.2,53.0,0.459,0.301,0.109,0.0344,0.0071,64.6,3.65,1.50E-04,9.16E-04,4-3-1,B-4-1,depth 0.50 to 1.00 on sheet 4 and the B-4 log
58.8,B-3,D3-1,1.15,1.45,Bs,fill,SFg,2.710,12.0,10.2,70.3,10.2,9.3,19.00,0.376,0.295,0.161,0.0076,0.0065,57.8,10.6,9.50E-04,,4-3-1,,
58.8,B-3,D3-2,2.15,2.45,Bs,fill,SF,2.733,26.9,0.0,50.4,28.0,21.6,2.00,0.143,0.08,0.0102,0.0144,0.0014,102,0.52,2.30E-06,,4-3-1,,d30 printed below d20
58.8,B-4,B4-1,2.30,3.00,Bc,fill,GF,2.683,11.9,53.1,28.8,13.1,5.0,37.5,7.1,2.97,0.324,0.0992,0.0152,467,0.97,1.75E-03,2.84E-03,4-3-1,B-4-2,
