river,bank,kp,crest_design_m_msl,crest_err_mu_m,crest_err_sigma_m,hwl_m_msl,ground_m_msl,floodplain_m_msl,riverbed_m_msl,crest_width_m,slope_h_per_v,water_surface_gradient_inv,hq_a,hq_b,wl_err_mu_m,wl_err_sigma_m,wl_err_assumed
Satsunai,left,3.2,36.11,1.117,0.005,34.61,32.41,32.72,31.27,7.0,3.0,276,460.97,-32.38,0.6,0.38,True
Satsunai,left,3.4,36.7,0.786,0.024,35.2,34.081,33.46,31.33,7.0,3.0,276,416.72,-32.62,0.6,0.38,True
Satsunai,left,3.6,37.39,0.622,0.031,35.89,34.451,34.1,32.78,7.0,3.0,276,505.89,-33.4,0.6,0.38,True
Satsunai,left,3.8,38.08,0.636,0.006,36.58,34.751,34.57,32.98,7.0,3.0,276,570.55,-34.2,0.6,0.38,True
Satsunai,left,4.0,38.74,0.913,0.195,37.24,35.371,35.11,33.42,7.0,3.0,314,474.15,-34.72,0.6,0.38,True
Satsunai,left,4.2,39.14,0.371,0.003,37.64,36.85,35.49,34.29,7.0,3.0,314,580.2,-35.35,0.6,0.38,True
Satsunai,left,4.4,39.82,0.302,0.001,38.32,37.121,36.4,34.53,7.0,3.0,314,540.61,-35.89,0.6,0.38,True
Satsunai,left,4.6,40.56,0.234,0.004,39.06,38.45,37.2,34.68,7.0,3.0,314,517.72,-36.29,0.6,0.38,True
Satsunai,left,4.8,41.19,0.042,0.002,39.69,39.06,37.73,35.68,7.0,3.0,314,568.38,-37.22,0.6,0.38,True
Satsunai,left,5.0,41.8,0.213,0.003,40.3,39.671,38.55,36.92,7.0,3.0,314,474.49,-37.36,0.6,0.38,True
Satsunai,left,5.2,42.5,0.381,0.004,41.0,40.39,39.24,37.5,7.0,3.0,314,371.63,-38.13,0.6,0.38,True
Satsunai,left,5.4,43.16,0.517,0.001,41.66,41.16,39.87,38.28,7.0,3.0,314,363.76,-38.78,0.6,0.38,True
