river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,3.2,overflow,historical,32.6,0
Satsunai,left,3.2,overflow,historical,32.8,0
Satsunai,left,3.2,overflow,historical,33,0
Satsunai,left,3.2,overflow,historical,33.2,0
Satsunai,left,3.2,overflow,historical,33.4,0
Satsunai,left,3.2,overflow,historical,33.6,0
Satsunai,left,3.2,overflow,historical,33.8,0
Satsunai,left,3.2,overflow,historical,34,0
Satsunai,left,3.2,overflow,historical,34.2,0
Satsunai,left,3.2,overflow,historical,34.4,0
Satsunai,left,3.2,overflow,historical,34.6,0
Satsunai,left,3.2,overflow,historical,34.8,0
Satsunai,left,3.2,overflow,historical,35,0
Satsunai,left,3.2,overflow,historical,35.2,0
Satsunai,left,3.2,overflow,historical,35.4,0
Satsunai,left,3.2,overflow,historical,35.6,0
Satsunai,left,3.2,overflow,historical,35.8,0
Satsunai,left,3.2,overflow,historical,36,0
Satsunai,left,3.2,overflow,historical,36.2,0
Satsunai,left,3.2,overflow,historical,36.4,0
Satsunai,left,3.2,overflow,historical,36.6,0
Satsunai,left,3.2,overflow,historical,36.8,0.0007
Satsunai,left,3.2,overflow,historical,37,0.0105
Satsunai,left,3.2,overflow,historical,37.2,0.0531
Satsunai,left,3.2,overflow,historical,37.4,0.1771
Satsunai,left,3.2,overflow,historical,37.6,0.4109
Satsunai,left,3.2,overflow,historical,37.8,0.6849
Satsunai,left,3.2,overflow,historical,38,0.8799
Satsunai,left,3.2,overflow,historical,38.2,0.9679
Satsunai,left,3.2,overflow,historical,38.4,0.9944
Satsunai,left,3.2,overflow,historical,38.6,0.9998
Satsunai,left,3.2,overflow,historical,38.8,1
Satsunai,left,3.2,overflow,historical,39,1
Satsunai,left,3.2,overflow,historical,39.2,1
Satsunai,left,3.2,overflow,historical,39.4,1
Satsunai,left,3.2,overflow,historical,39.6,1
Satsunai,left,3.2,overflow,historical,39.8,1
Satsunai,left,3.2,overflow,historical,40,1
Satsunai,left,3.2,overflow,historical,40.2,1
Satsunai,left,3.2,overflow,plus4K,32.6,0
Satsunai,left,3.2,overflow,plus4K,32.8,0
Satsunai,left,3.2,overflow,plus4K,33,0
Satsunai,left,3.2,overflow,plus4K,33.2,0
Satsunai,left,3.2,overflow,plus4K,33.4,0
Satsunai,left,3.2,overflow,plus4K,33.6,0
Satsunai,left,3.2,overflow,plus4K,33.8,0
Satsunai,left,3.2,overflow,plus4K,34,0
Satsunai,left,3.2,overflow,plus4K,34.2,0
Satsunai,left,3.2,overflow,plus4K,34.4,0
Satsunai,left,3.2,overflow,plus4K,34.6,0
Satsunai,left,3.2,overflow,plus4K,34.8,0
Satsunai,left,3.2,overflow,plus4K,35,0
Satsunai,left,3.2,overflow,plus4K,35.2,0
Satsunai,left,3.2,overflow,plus4K,35.4,0
Satsunai,left,3.2,overflow,plus4K,35.6,0
Satsunai,left,3.2,overflow,plus4K,35.8,0
Satsunai,left,3.2,overflow,plus4K,36,0
Satsunai,left,3.2,overflow,plus4K,36.2,0
Satsunai,left,3.2,overflow,plus4K,36.4,0
Satsunai,left,3.2,overflow,plus4K,36.6,0
Satsunai,left,3.2,overflow,plus4K,36.8,0.0007
Satsunai,left,3.2,overflow,plus4K,37,0.0105
