river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,3.2,overflow,plus4K,32.6,0
Satsunai,left,3.2,fluvial_scour,plus4K,32.6,0
Satsunai,left,3.2,overflow,plus4K,32.8,0
Satsunai,left,3.2,fluvial_scour,plus4K,32.8,0
Satsunai,left,3.2,overflow,plus4K,33,0
Satsunai,left,3.2,fluvial_scour,plus4K,33,0
Satsunai,left,3.2,overflow,plus4K,33.2,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.2,0
Satsunai,left,3.2,overflow,plus4K,33.4,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.4,0
Satsunai,left,3.2,overflow,plus4K,33.6,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.6,0
Satsunai,left,3.2,overflow,plus4K,33.8,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.8,0
Satsunai,left,3.2,overflow,plus4K,34,0
Satsunai,left,3.2,fluvial_scour,plus4K,34,0
Satsunai,left,3.2,overflow,plus4K,34.2,0
Satsunai,left,3.2,fluvial_scour,plus4K,34.2,0
Satsunai,left,3.2,overflow,plus4K,34.4,0
Satsunai,left,3.2,fluvial_scour,plus4K,34.4,0
Satsunai,left,3.2,overflow,plus4K,34.6,0
Satsunai,left,3.2,fluvial_scour,plus4K,34.6,0
Satsunai,left,3.2,overflow,plus4K,34.8,0
Satsunai,left,3.2,fluvial_scour,plus4K,34.8,0
Satsunai,left,3.2,overflow,plus4K,35,0
Satsunai,left,3.2,fluvial_scour,plus4K,35,0
Satsunai,left,3.2,overflow,plus4K,35.2,0
Satsunai,left,3.2,fluvial_scour,plus4K,35.2,0
Satsunai,left,3.2,overflow,plus4K,35.4,0
Satsunai,left,3.2,fluvial_scour,plus4K,35.4,0
Satsunai,left,3.2,overflow,plus4K,35.6,0
Satsunai,left,3.2,fluvial_scour,plus4K,35.6,0
Satsunai,left,3.2,overflow,plus4K,35.8,0
Satsunai,left,3.2,fluvial_scour,plus4K,35.8,0
Satsunai,left,3.2,overflow,plus4K,36,0
Satsunai,left,3.2,fluvial_scour,plus4K,36,0
Satsunai,left,3.2,overflow,plus4K,36.2,0
Satsunai,left,3.2,fluvial_scour,plus4K,36.2,0
Satsunai,left,3.2,overflow,plus4K,36.4,0.0001
Satsunai,left,3.2,fluvial_scour,plus4K,36.4,0
Satsunai,left,3.2,overflow,plus4K,36.6,0.0015
Satsunai,left,3.2,fluvial_scour,plus4K,36.6,0
Satsunai,left,3.2,overflow,plus4K,36.8,0.0133
Satsunai,left,3.2,fluvial_scour,plus4K,36.8,0
Satsunai,left,3.2,overflow,plus4K,37,0.0634
Satsunai,left,3.2,fluvial_scour,plus4K,37,0
Satsunai,left,3.2,overflow,plus4K,37.2,0.2016
Satsunai,left,3.2,fluvial_scour,plus4K,37.2,0
Satsunai,left,3.2,overflow,plus4K,37.4,0.4451
Satsunai,left,3.2,fluvial_scour,plus4K,37.4,0
Satsunai,left,3.2,overflow,plus4K,37.6,0.7147
