river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,3.2,fluvial_scour,historical,32.6,0
Satsunai,left,3.2,fluvial_scour,historical,32.8,0
Satsunai,left,3.2,fluvial_scour,historical,33,0
Satsunai,left,3.2,fluvial_scour,historical,33.2,0
Satsunai,left,3.2,fluvial_scour,historical,33.4,0
Satsunai,left,3.2,fluvial_scour,historical,33.6,0
Satsunai,left,3.2,fluvial_scour,historical,33.8,0
Satsunai,left,3.2,fluvial_scour,historical,34,0
Satsunai,left,3.2,fluvial_scour,historical,34.2,0
Satsunai,left,3.2,fluvial_scour,historical,34.4,0
Satsunai,left,3.2,fluvial_scour,historical,34.6,0
Satsunai,left,3.2,fluvial_scour,historical,34.8,0
Satsunai,left,3.2,fluvial_scour,historical,35,0
Satsunai,left,3.2,fluvial_scour,historical,35.2,0
Satsunai,left,3.2,fluvial_scour,historical,35.4,0
Satsunai,left,3.2,fluvial_scour,historical,35.6,0
Satsunai,left,3.2,fluvial_scour,historical,35.8,0
Satsunai,left,3.2,fluvial_scour,historical,36,0
Satsunai,left,3.2,fluvial_scour,historical,36.2,0
Satsunai,left,3.2,fluvial_scour,historical,36.4,0
Satsunai,left,3.2,fluvial_scour,historical,36.6,0
Satsunai,left,3.2,fluvial_scour,historical,36.8,0
Satsunai,left,3.2,fluvial_scour,historical,37,0
Satsunai,left,3.2,fluvial_scour,historical,37.2,0
Satsunai,left,3.2,fluvial_scour,historical,37.4,0
Satsunai,left,3.2,fluvial_scour,historical,37.6,0
Satsunai,left,3.2,fluvial_scour,historical,37.8,0
Satsunai,left,3.2,fluvial_scour,historical,38,0
Satsunai,left,3.2,fluvial_scour,historical,38.2,0
Satsunai,left,3.2,fluvial_scour,historical,38.4,0
Satsunai,left,3.2,fluvial_scour,historical,38.6,0
Satsunai,left,3.2,fluvial_scour,historical,38.8,0
Satsunai,left,3.2,fluvial_scour,historical,39,0
Satsunai,left,3.2,fluvial_scour,historical,39.2,0
Satsunai,left,3.2,fluvial_scour,historical,39.4,0
Satsunai,left,3.2,fluvial_scour,historical,39.6,0
Satsunai,left,3.2,fluvial_scour,historical,39.8,0
Satsunai,left,3.2,fluvial_scour,historical,40,0
Satsunai,left,3.2,fluvial_scour,historical,40.2,0
Satsunai,left,3.2,fluvial_scour,plus4K,32.6,0
Satsunai,left,3.2,fluvial_scour,plus4K,32.8,0
Satsunai,left,3.2,fluvial_scour,plus4K,33,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.2,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.4,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.6,0
Satsunai,left,3.2,fluvial_scour,plus4K,33.8,0
Satsunai,left,3.2,fluvial_scour,plus4K,34,0
