level_m_msl,n_samples,k_static,k_transient,p_f_static,p_f_transient,bias_B,ci_lo,ci_hi,ci_width_factor,resolved,role,clopper_pearson_bound_B,euler_barrier_jump_rows
39.21,1000000,1132,2,0.001132,2e-06,566.0,220.8,1178.0,5.3351,False,A1_design_hwl,147.7,0
39.25,1000000,1943,10,0.001943,1e-05,194.3,115.4706,481.0062,4.1656,False,A2_nearest_grid_level,101.0,0
39.5,1000000,22249,521,0.022249,0.000521,42.7044,39.3699,46.6285,1.1844,True,A3_quotable_anchor,,1
39.75,1000000,98980,6860,0.09898,0.00686,14.4286,14.1086,14.771,1.0469,True,,,0
40.0,1000000,246683,35782,0.246683,0.035782,6.8941,6.8293,6.9603,1.0192,True,,,0
40.25,1000000,434960,102485,0.43496,0.102485,4.2441,4.2217,4.2672,1.0108,True,,,2
40.5,1000000,616530,206238,0.61653,0.206238,2.9894,2.9788,3.0,1.0071,True,,,0
40.75,1000000,761330,332961,0.76133,0.332961,2.2865,2.2808,2.2924,1.0051,True,,,1
41.0,1000000,860529,462955,0.860529,0.462955,1.8588,1.8551,1.8624,1.0039,True,,,0
41.25,1000000,923028,582203,0.923028,0.582203,1.5854,1.5829,1.5879,1.0031,True,,,0
41.5,1000000,959474,683090,0.959474,0.68309,1.4046,1.4028,1.4064,1.0025,True,,,0
41.75,1000000,979341,763484,0.979341,0.763484,1.2827,1.2814,1.284,1.0021,True,,,0
42.0,1000000,989662,825596,0.989662,0.825596,1.1987,1.1977,1.1997,1.0017,True,,,0
42.25,1000000,994965,872180,0.994965,0.87218,1.1408,1.1399,1.1416,1.0015,True,,,0
42.5,1000000,997524,906919,0.997524,0.906919,1.0999,1.0992,1.1006,1.0012,True,,,0
42.75,1000000,998761,932417,0.998761,0.932417,1.0712,1.0706,1.0717,1.0011,True,,,0
43.0,1000000,999400,950660,0.9994,0.95066,1.0513,1.0508,1.0517,1.0009,True,,,0
43.25,1000000,999692,963940,0.999692,0.96394,1.0371,1.0367,1.0375,1.0008,True,,,0
