bracket,kind,section,anchor,stage_m_msl,above_attainable_max,p_f_trans_baseline,n_failures_trans_baseline,span_trans,moves_both_branches,cancellation_arm,max_resolved_departure_factor
k_aq_prior_mean,epistemic,KP57.4,lowest_reachable,39.5,False,0.00014,14,unbounded,True,k_aq_field_geomean,66.9741
k_aq_prior_mean,epistemic,KP57.4,rising_limb,39.75,False,0.00295,295,unbounded,True,k_aq_field_geomean,66.9741
k_aq_prior_mean,epistemic,KP57.4,design_hwl,39.25,False,0.0,0,not_defined,True,k_aq_field_geomean,66.9741
k_aq_prior_mean,epistemic,KP57.4,transition_midpoint,41.25,False,0.4773,47730,unbounded,True,k_aq_field_geomean,66.9741
k_aq_prior_mean,epistemic,KP57.4,grid_top,43.25,False,0.94361,94361,1.75e+03,True,k_aq_field_geomean,66.9741
k_aq_prior_mean,epistemic,KP58.8,lowest_reachable,39.75,False,0.00011,11,unbounded,True,k_aq_field_geomean,56.4746
k_aq_prior_mean,epistemic,KP58.8,rising_limb,40.0,False,0.00241,241,unbounded,True,k_aq_field_geomean,56.4746
k_aq_prior_mean,epistemic,KP58.8,design_hwl,41.0,False,0.19736,19736,unbounded,True,k_aq_field_geomean,56.4746
k_aq_prior_mean,epistemic,KP58.8,transition_midpoint,41.75,False,0.51725,51725,unbounded,True,k_aq_field_geomean,56.4746
k_aq_prior_mean,epistemic,KP58.8,grid_top,45.0,False,0.98278,98278,66.80,True,k_aq_field_geomean,56.4746
k_aq_prior_mean,epistemic,KP60.0,lowest_reachable,41.5,False,1e-05,1,unbounded,True,k_aq_field_geomean,71.7687
k_aq_prior_mean,epistemic,KP60.0,rising_limb,42.0,False,0.00195,195,unbounded,True,k_aq_field_geomean,71.7687
k_aq_prior_mean,epistemic,KP60.0,design_hwl,42.75,False,0.05579,5579,unbounded,True,k_aq_field_geomean,71.7687
k_aq_prior_mean,epistemic,KP60.0,transition_midpoint,44.25,False,0.50062,50062,2e+04,True,k_aq_field_geomean,71.7687
k_aq_prior_mean,epistemic,KP60.0,grid_top,46.75,False,0.93074,93074,94.88,True,k_aq_field_geomean,71.7687
k_aq_prior_mean,epistemic,KP62.0,lowest_reachable,46.25,False,1e-05,1,unbounded,True,k_aq_field_geomean,45.7121
k_aq_prior_mean,epistemic,KP62.0,rising_limb,46.75,False,0.00101,101,unbounded,True,k_aq_field_geomean,45.7121
k_aq_prior_mean,epistemic,KP62.0,design_hwl,46.5,False,0.00013,13,unbounded,True,k_aq_field_geomean,45.7121
k_aq_prior_mean,epistemic,KP62.0,transition_midpoint,49.75,False,0.50765,50765,3.7e+03,True,k_aq_field_geomean,45.7121
k_aq_prior_mean,epistemic,KP62.0,grid_top,56.5,True,0.9888,98880,6.57,True,k_aq_field_geomean,45.7121
z_toe,epistemic,KP57.4,lowest_reachable,39.5,False,0.00014,14,unbounded,True,z_toe_minus0.30m,4.6764
z_toe,epistemic,KP57.4,rising_limb,39.75,False,0.00295,295,413,True,z_toe_minus0.30m,4.6764
z_toe,epistemic,KP57.4,design_hwl,39.25,False,0.0,0,not_defined,True,z_toe_minus0.30m,4.6764
z_toe,epistemic,KP57.4,transition_midpoint,41.25,False,0.4773,47730,1.87,True,z_toe_minus0.30m,4.6764
z_toe,epistemic,KP57.4,grid_top,43.25,False,0.94361,94361,1.05,True,z_toe_minus0.30m,4.6764
z_toe,epistemic,KP58.8,lowest_reachable,39.75,False,0.00011,11,unbounded,True,z_toe_minus0.30m,5.2828
z_toe,epistemic,KP58.8,rising_limb,40.0,False,0.00241,241,399,True,z_toe_minus0.30m,5.2828
z_toe,epistemic,KP58.8,design_hwl,41.0,False,0.19736,19736,3.60,True,z_toe_minus0.30m,5.2828
z_toe,epistemic,KP58.8,transition_midpoint,41.75,False,0.51725,51725,1.66,True,z_toe_minus0.30m,5.2828
z_toe,epistemic,KP58.8,grid_top,45.0,False,0.98278,98278,1.01,True,z_toe_minus0.30m,5.2828
z_toe,epistemic,KP60.0,lowest_reachable,41.5,False,1e-05,1,unbounded,True,z_toe_plus0.30m,2.6535
z_toe,epistemic,KP60.0,rising_limb,42.0,False,0.00195,195,79.29,True,z_toe_plus0.30m,2.6535
z_toe,epistemic,KP60.0,design_hwl,42.75,False,0.05579,5579,6.16,True,z_toe_plus0.30m,2.6535
z_toe,epistemic,KP60.0,transition_midpoint,44.25,False,0.50062,50062,1.54,True,z_toe_plus0.30m,2.6535
z_toe,epistemic,KP60.0,grid_top,46.75,False,0.93074,93074,1.05,True,z_toe_plus0.30m,2.6535
z_toe,epistemic,KP62.0,lowest_reachable,46.25,False,1e-05,1,unbounded,True,z_toe_minus0.30m,1.7907
z_toe,epistemic,KP62.0,rising_limb,46.75,False,0.00101,101,74.86,True,z_toe_minus0.30m,1.7907
