knob,arm,section,branch,stage_m_msl,above_attainable_max,p_f_baseline,p_f_arm,ratio_arm_to_baseline,anchor,p_f_trans_baseline_at_stage
m_p,m_p,KP57.4,static,34.75,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,static,36.5,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,static,38.0,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,static,38.5,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,static,38.75,False,0.0,0.0,,,0.0
m_p,m_p,KP57.4,static,39.0,False,0.0,2e-05,,,0.0
m_p,m_p,KP57.4,static,39.25,False,0.00051,0.0015,2.941176,design_hwl,0.0
m_p,m_p,KP57.4,static,39.5,False,0.0085,0.0158,1.858824,lowest_reachable,0.00014
m_p,m_p,KP57.4,static,39.75,False,0.04729,0.06741,1.42546,rising_limb,0.00295
m_p,m_p,KP57.4,static,40.0,False,0.14186,0.16992,1.197801,,0.01809
m_p,m_p,KP57.4,static,40.25,False,0.28936,0.31499,1.088575,,0.06005
m_p,m_p,KP57.4,static,40.5,False,0.45986,0.47452,1.031879,,0.13377
m_p,m_p,KP57.4,static,40.75,False,0.61922,0.61833,0.998563,,0.2382
m_p,m_p,KP57.4,static,41.0,False,0.74928,0.73702,0.983638,,0.35726
m_p,m_p,KP57.4,static,41.25,False,0.84239,0.82652,0.981161,transition_midpoint,0.4773
m_p,m_p,KP57.4,static,41.5,False,0.90562,0.88976,0.982487,,0.58726
m_p,m_p,KP57.4,static,41.75,False,0.9457,0.93105,0.984509,,0.6799
m_p,m_p,KP57.4,static,42.0,False,0.96905,0.95825,0.988855,,0.75624
m_p,m_p,KP57.4,static,42.25,False,0.98277,0.97481,0.9919,,0.81677
m_p,m_p,KP57.4,static,42.5,False,0.99066,0.98497,0.994256,,0.86255
m_p,m_p,KP57.4,static,42.75,False,0.99507,0.99102,0.99593,,0.89857
m_p,m_p,KP57.4,static,43.0,False,0.99735,0.99473,0.997373,,0.92403
m_p,m_p,KP57.4,static,43.25,False,0.9985,0.99698,0.998478,grid_top,0.94361
m_p,m_p,KP58.8,static,36.5,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,static,37.5,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,static,38.25,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,static,38.75,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,static,39.0,False,0.0,0.0,,,0.0
m_p,m_p,KP58.8,static,39.25,False,1e-05,4e-05,4.0,,0.0
m_p,m_p,KP58.8,static,39.5,False,0.00074,0.00188,2.540541,,0.0
