table,section,d70_interpretation,n_samples,level_m_msl,role,k_static,k_transient,p_static,p_transient,beta_static,beta_static_ci_lo,beta_static_ci_hi,beta_transient,beta_transient_ci_lo,beta_transient_ci_hi,delta_beta,delta_beta_ci_lo,delta_beta_ci_hi,delta_beta_lower_bound,B,resolved,delta_beta_ci_width,resolved_index_space,attainable,artifact
production,KP 57.4,matrix,100000,34.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,36.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,38,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,38.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,38.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,39,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,39.25,,51,0,0.00051,0,3.28495,3.20706,3.36715,inf,3.96377,inf,inf,,,0.59662,inf,false,nan,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,39.5,,850,14,0.0085,0.00014,2.38671,2.36199,2.41165,3.63313,3.49743,3.78601,1.24643,,,1.08578,60.7143,false,nan,false,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,39.75,,4729,295,0.04729,0.00295,1.67172,1.65835,1.68512,2.75329,2.71578,2.79148,1.08157,1.04636,1.1202,1.03066,16.0305,true,0.0738462,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,40,,14186,1809,0.14186,0.01809,1.072,1.06235,1.08166,2.0949,2.07626,2.11364,1.0229,1.00606,1.04148,0.9946,7.8419,true,0.0354253,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,40.25,,28936,6005,0.28936,0.06005,0.555255,0.547023,0.56349,1.55435,1.54197,1.56676,0.999099,0.988125,1.0117,0.978481,4.81865,true,0.0235741,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,40.5,,45986,13377,0.45986,0.13377,0.100786,0.0929916,0.108581,1.10875,1.09895,1.11855,1.00796,0.999242,1.01727,0.990366,3.43769,true,0.0180313,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,40.75,,61922,23820,0.61922,0.2382,-0.303433,-0.311346,-0.295521,0.712105,0.703562,0.72065,1.01554,1.00648,1.02417,0.999083,2.59958,true,0.0176874,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,41,,74928,35726,0.74928,0.35726,-0.672226,-0.680683,-0.663771,0.365792,0.35782,0.373766,1.03802,1.02945,1.04655,1.02159,2.0973,true,0.0171023,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,41.25,,84239,47730,0.84239,0.4773,-1.00433,-1.01373,-0.994938,0.0569312,0.0491462,0.0647164,1.06126,1.05252,1.07035,1.04408,1.76491,true,0.0178343,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,41.5,,90562,58726,0.90562,0.58726,-1.31426,-1.32507,-1.30346,-0.220502,-0.228352,-0.212653,1.09375,1.08396,1.10477,1.07511,1.54211,true,0.020813,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,41.75,,94570,67990,0.9457,0.6799,-1.60452,-1.61733,-1.59173,-0.467419,-0.475518,-0.459322,1.1371,1.12435,1.14919,1.11621,1.39094,true,0.0248384,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,42,,96905,75624,0.96905,0.75624,-1.86701,-1.88248,-1.85159,-0.694259,-0.702764,-0.685756,1.17275,1.15851,1.18898,1.14883,1.28141,true,0.0304656,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,42.25,,98277,81677,0.98277,0.81677,-2.11465,-2.13373,-2.09567,-0.903124,-0.912182,-0.894071,1.21152,1.19252,1.23129,1.18349,1.20324,true,0.0387697,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,42.5,,99066,86255,0.99066,0.86255,-2.35186,-2.3759,-2.32802,-1.09185,-1.10158,-1.08212,1.26001,1.23878,1.28356,1.22643,1.14852,true,0.0447869,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,42.75,,99507,89857,0.99507,0.89857,-2.5807,-2.61165,-2.55015,-1.27345,-1.28403,-1.26287,1.30726,1.27701,1.33886,1.26612,1.10739,true,0.0618543,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,43,,99735,92403,0.99735,0.92403,-2.78821,-2.82815,-2.74904,-1.43271,-1.44424,-1.4212,1.3555,1.31824,1.39642,1.30479,1.07935,true,0.0781866,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 57.4,matrix,100000,43.25,,99850,94361,0.9985,0.94361,-2.96774,-3.01861,-2.91826,-1.58582,-1.59848,-1.57319,1.38192,1.33005,1.43094,1.31978,1.05817,true,0.100892,true,true,results/tokachi_kp57.4_historical_matrix.h5
production,KP 58.8,matrix,100000,36.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,37.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,38.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,38.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,39,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,39.25,,1,0,1e-05,0,4.26489,3.86425,5.02389,inf,3.96377,inf,inf,,,-1.06012,inf,false,nan,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,39.5,,74,0,0.00074,0,3.17858,3.11207,3.248,inf,3.96377,inf,inf,,,0.71577,inf,false,nan,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,39.75,,979,11,0.00979,0.00011,2.3343,2.31088,2.35791,3.69487,3.54432,3.86779,1.36057,,,1.18641,89,false,nan,false,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,40,,4979,241,0.04979,0.00241,1.64689,1.63374,1.66007,2.81882,2.77811,2.86039,1.17193,1.13418,1.21454,1.11804,20.6598,true,0.0803585,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,40.25,,14277,1453,0.14277,0.01453,1.06796,1.05833,1.0776,2.18267,2.16247,2.203,1.11471,1.09571,1.13502,1.08488,9.82588,true,0.0393165,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,40.5,,28634,4827,0.28634,0.04827,0.564109,0.555861,0.572359,1.66186,1.64858,1.67518,1.09776,1.08567,1.10981,1.07622,5.93205,true,0.0241436,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,40.75,,45217,10943,0.45217,0.10943,0.120181,0.11238,0.127982,1.22957,1.21922,1.23993,1.10938,1.09942,1.12014,1.09123,4.13205,true,0.0207238,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,41,,60913,19736,0.60913,0.19736,-0.277052,-0.284943,-0.269162,0.851089,0.842191,0.859991,1.12814,1.11969,1.13754,1.11135,3.08639,true,0.0178564,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,41.25,,73872,30279,0.73872,0.30279,-0.639404,-0.647794,-0.631017,0.516393,0.508223,0.524564,1.1558,1.14623,1.16474,1.13924,2.43971,true,0.0185084,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,41.5,,83275,41240,0.83275,0.4124,-0.965089,-0.974349,-0.955835,0.221376,0.213526,0.229226,1.18647,1.17701,1.19613,1.16936,2.01928,true,0.019129,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,41.75,,89810,51725,0.8981,0.51725,-1.2708,-1.28137,-1.26024,-0.0432528,-0.051036,-0.0354697,1.22755,1.21598,1.23873,1.2092,1.7363,true,0.0227503,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,42,,94018,61331,0.94018,0.61331,-1.55629,-1.56871,-1.54389,-0.287957,-0.295856,-0.280058,1.26833,1.2564,1.28058,1.24803,1.53296,true,0.0241805,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,42.25,,96513,69305,0.96513,0.69305,-1.8136,-1.82844,-1.79879,-0.504514,-0.512668,-0.496363,1.30908,1.29439,1.32403,1.28613,1.39258,true,0.0296387,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,42.5,,98041,75949,0.98041,0.75949,-2.06229,-2.0805,-2.04418,-0.704663,-0.713192,-0.696137,1.35763,1.3401,1.37562,1.33099,1.29088,true,0.0355212,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,42.75,,98900,81357,0.989,0.81357,-2.29037,-2.31295,-2.26796,-0.891129,-0.90015,-0.882113,1.39924,1.37874,1.41938,1.36781,1.21563,true,0.0406405,true,true,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,43,,99401,85625,0.99401,0.85625,-2.51273,-2.54136,-2.48443,-1.06362,-1.07324,-1.05401,1.44911,1.42311,1.48036,1.41119,1.16089,true,0.0572465,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,43.25,,99687,89029,0.99687,0.89029,-2.73384,-2.77111,-2.69722,-1.22807,-1.23842,-1.21773,1.50577,1.47168,1.54519,1.4588,1.11971,true,0.0735137,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,43.5,,99807,91528,0.99807,0.91528,-2.88938,-2.93504,-2.84479,-1.37401,-1.38516,-1.36286,1.51538,1.47314,1.56194,1.45963,1.09045,true,0.0887992,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,43.75,,99894,93510,0.99894,0.9351,-3.07289,-3.13206,-3.01571,-1.51489,-1.527,-1.50281,1.55799,1.505,1.61943,1.48871,1.06827,true,0.114427,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,44,,99934,95003,0.99934,0.95003,-3.2116,-3.28469,-3.14179,-1.64514,-1.65831,-1.63201,1.56645,1.50684,1.64281,1.48348,1.0519,true,0.13597,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,44.25,,99962,96240,0.99962,0.9624,-3.36697,-3.46116,-3.27864,-1.77924,-1.79371,-1.76481,1.58772,1.51056,1.68071,1.48493,1.03867,true,0.170155,true,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,44.5,,99983,97085,0.99983,0.97085,-3.58275,-3.72147,-3.45793,-1.89344,-1.90923,-1.8777,1.68931,,,1.5487,1.02985,true,nan,false,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,44.75,,99992,97755,0.99992,0.97755,-3.77501,-3.97944,-3.60243,-2.00559,-2.02292,-1.98834,1.76942,,,1.57951,1.02288,true,nan,false,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 58.8,matrix,100000,45,,99994,98278,0.99994,0.98278,-3.84613,-4.0852,-3.65104,-2.11488,-2.13397,-2.0959,1.73124,,,1.51707,1.01746,true,nan,false,false,results/tokachi_kp58.8_historical_matrix.h5
production,KP 60.0,matrix,100000,38.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,39.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,39.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,40.25,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,40.5,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,40.75,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,41,,0,0,0,0,inf,3.96377,inf,inf,3.96377,inf,nan,,,,inf,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,41.25,,6,0,6e-05,0,3.84613,3.65104,4.0852,inf,3.96377,inf,inf,,,-0.121435,inf,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,41.5,,188,1,0.00188,1e-05,2.89762,2.85255,2.9438,4.26489,3.86425,5.02389,1.36727,,,0.920454,188,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,41.75,,1147,26,0.01147,0.00026,2.27443,2.25237,2.29666,3.47024,3.36629,3.58298,1.1958,,,1.06963,44.1154,false,nan,false,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,42,,4299,195,0.04299,0.00195,1.717,1.7032,1.73083,2.88614,2.84174,2.9316,1.16914,1.12707,1.21664,1.11091,22.0462,true,0.0895704,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,42.25,,11095,823,0.11095,0.00823,1.22149,1.21118,1.23181,2.39855,2.37353,2.42381,1.17706,1.15368,1.20277,1.14172,13.4812,true,0.0490859,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,42.5,,21866,2461,0.21866,0.02461,0.776727,0.768029,0.785428,1.96668,1.94998,1.98345,1.18995,1.17419,1.20686,1.16455,8.88501,true,0.0326658,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,42.75,,35345,5579,0.35345,0.05579,0.376023,0.368039,0.384008,1.59113,1.57846,1.60383,1.21511,1.20238,1.22707,1.19445,6.33536,true,0.0246952,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,43,,49512,10399,0.49512,0.10399,0.0122327,0.00445196,0.0200134,1.25914,1.24864,1.26965,1.24691,1.23612,1.25722,1.22863,4.76123,true,0.0211029,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,43.25,,62617,16841,0.62617,0.16841,-0.321726,-0.329656,-0.313798,0.960467,0.951229,0.969711,1.28219,1.27188,1.29304,1.26503,3.71813,true,0.0211547,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,43.5,,73742,24694,0.73742,0.24694,-0.635412,-0.643794,-0.627032,0.684151,0.67567,0.692634,1.31956,1.30944,1.32876,1.3027,2.98623,true,0.0193254,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,43.75,,82276,33185,0.82276,0.33185,-0.925935,-0.935064,-0.91681,0.43481,0.426757,0.442866,1.36075,1.35077,1.3708,1.34357,2.47931,true,0.0200293,true,true,results/tokachi_kp60.0_historical_matrix.h5
production,KP 60.0,matrix,100000,44,,88454,41704,0.88454,0.41704,-1.19799,-1.2082,-1.1878,0.209472,0.201629,0.217315,1.40746,1.3968,1.41839,1.38943,2.121,true,0.0215871,true,true,results/tokachi_kp60.0_historical_matrix.h5
