section,scenario,arm,p_annual_system,p_annual_bep,share_bep,ratio_system_to_baseline,ratio_bep_to_baseline,bep_clamped_above_grid
KP57.4,historical,baseline,0.0007529745057681502,0.0007529745057681502,1.0,1.0,1.0,False
KP57.4,historical,lambda_ac_100m,0.001343440477239195,0.001343440477239195,1.0,1.784178,1.784178,False
KP57.4,historical,lambda_ac_40m,0.002535419134305309,0.002535419134305309,1.0,3.367204,3.367204,False
KP57.4,historical,bulk_d70,2.074058746414729e-06,2.074058746414729e-06,1.0,0.002754,0.002754,True
KP57.4,historical,prior_bep,0.0007547863728584468,0.0007547863728584468,1.0,1.002406,1.002406,False
KP57.4,+4K,baseline,0.009531319729506616,0.009484134792543604,0.912325,1.0,1.0,False
KP57.4,+4K,lambda_ac_100m,0.01403053940953727,0.01402747482295423,0.938989,1.472046,1.479046,False
KP57.4,+4K,lambda_ac_40m,0.020699322250383533,0.020699316840888392,0.957825,2.171716,2.18252,False
KP57.4,+4K,bulk_d70,0.001215482719636291,0.0005672769561485688,0.383629,0.127525,0.059813,True
KP57.4,+4K,prior_bep,0.009542470043173192,0.009495307767275725,0.912419,1.00117,1.001178,False
KP58.8,historical,baseline,0.0074451770306702405,0.0073632188269890575,0.97419,1.0,1.0,False
KP58.8,historical,lambda_ac_100m,0.011694204877187421,0.011649952293965087,0.983531,1.570709,1.582182,False
KP58.8,historical,lambda_ac_40m,0.01881324144698561,0.018795942855602883,0.989728,2.526903,2.55268,False
KP58.8,historical,bulk_d70,0.00019887555820912014,3.983552526292708e-06,0.020012,0.026712,0.000541,True
KP58.8,historical,prior_bep,0.00846694925456121,0.008389875497708863,0.977277,1.137239,1.13943,False
KP58.8,+4K,baseline,0.04100684741974899,0.04054286077793307,0.941276,1.0,1.0,False
KP58.8,+4K,lambda_ac_100m,0.059110120224445985,0.05891411944172783,0.958834,1.44147,1.453132,False
KP58.8,+4K,lambda_ac_40m,0.08474349542117501,0.08468495128422432,0.970998,2.066569,2.088776,False
KP58.8,+4K,bulk_d70,0.0027090843786673658,0.00026812957381632755,0.095846,0.066064,0.006613,True
KP58.8,+4K,prior_bep,0.044616565137658055,0.0441806502877034,0.94585,1.088027,1.089727,False
KP60.0,historical,baseline,0.001808554195076605,0.001808554195076605,1.0,1.0,1.0,False
KP60.0,historical,lambda_ac_100m,0.003222374175234228,0.003222374175234228,1.0,1.78174,1.78174,False
KP60.0,historical,lambda_ac_40m,0.006083662093542196,0.006083662093542196,1.0,3.363826,3.363826,False
KP60.0,historical,bulk_d70,6.914576779640289e-05,6.914576779640289e-05,1.0,0.038233,0.038233,False
KP60.0,historical,prior_bep,0.0020250317468853943,0.0020250317468853943,1.0,1.119696,1.119696,False
KP60.0,+4K,baseline,0.01421122545417364,0.014209050759257477,0.998381,1.0,1.0,False
KP60.0,+4K,lambda_ac_100m,0.022858838376817056,0.022858628845106685,0.998993,1.608506,1.608737,False
KP60.0,+4K,lambda_ac_40m,0.03766553203113114,0.037665531810814966,0.999389,2.650407,2.650813,False
KP60.0,+4K,bulk_d70,0.001615179400190394,0.001602755250945974,0.985831,0.113655,0.112798,False
KP60.0,+4K,prior_bep,0.015340647327771224,0.015338550378454741,0.9985,1.079474,1.079492,False
KP62.0,historical,baseline,0.001006046005485643,0.0008580186169895641,0.811524,1.0,1.0,False
KP62.0,historical,lambda_ac_100m,0.001701322535906348,0.001591137308561253,0.888699,1.691098,1.854432,False
KP62.0,historical,lambda_ac_40m,0.0033054557364008245,0.003259372007970425,0.942384,3.285591,3.798719,False
KP62.0,historical,bulk_d70,0.00019928757694662766,1.6462677030194616e-08,8.3e-05,0.19809,1.9e-05,False
KP62.0,historical,prior_bep,0.001006046005485643,0.0008580186169895641,0.811524,1.0,1.0,False
KP62.0,+4K,baseline,0.012777595238792624,0.008403164105895132,0.500336,1.0,1.0,False
KP62.0,+4K,lambda_ac_100m,0.016449480932680668,0.013958321470914744,0.624528,1.287369,1.661079,False
KP62.0,+4K,lambda_ac_40m,0.02461794258118692,0.024010487265416474,0.74101,1.926649,2.857315,False
KP62.0,+4K,bulk_d70,0.008392008057548622,1.542227589756329e-05,0.001834,0.656775,0.001835,False
KP62.0,+4K,prior_bep,0.012777595238792624,0.008403164105895132,0.500336,1.0,1.0,False
